+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                           long                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| CRVUSDT   | 0.0002669     | 0.001107    | 0.03103      | 50.6          | 0.01965      | 0.01753     | 0.1486         | 0.9425                 | 0.00253      | 1012.71 | -425179.000267 |
| SUSHIUSDT | 0.0005357     | 0.001933    | 0.02734      | 23.92         | 0.01484      | 0.03789     | 0.1475         | 0.7759                 | 0.005867     | 1009.71 | -425000.139457 |
| AXSUSDT   | 0.0008768     | 0.002908    | 0.06865      | 87.33         | 0.01404      | 0.01563     | 0.1717         | 0.9158                 | 0.003428     | 932.7   | -423013.580566 |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                       short                                                                                       |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score    |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------+
| SUSHIUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1009.71 | -30399.0 |
| 1INCHUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 897.58  | -30399.0 |
| AXSUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 932.7   | -30399.0 |
| CHRUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 820.71  | -30399.0 |
| ATOMUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1219.49 | -30399.0 |
| CELRUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 803.71  | -30399.0 |
| MATICUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 961.71  | -30399.0 |
| SKLUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 914.68  | -30399.0 |
| SXPUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1054.62 | -30399.0 |
| HBARUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 815.71  | -30399.0 |
| ANKRUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 865.71  | -30399.0 |
| SNXUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1030.7  | -30399.0 |
| MANAUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 817.71  | -30399.0 |
| XTZUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1220.66 | -30399.0 |
| GRTUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 903.71  | -30399.0 |
