+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| ARBUSDT       | 0.001366      | 0.001621    | 0.03648      | 48.15         | 0.006724     | 0.006459    | 0.0            | 0.9888                 | 0.001005     | 99.37  | -230179.251366 |
| CHZUSDT       | 0.001318      | 0.001968    | 0.06276      | 45.7          | 0.009491     | 0.01317     | 0.005628       | 0.8957                 | 0.005299     | 791.0  | -230179.251318 |
| MTLUSDT       | 0.001317      | 0.001358    | 0.06851      | 61.3          | 0.01811      | 0.01693     | 0.02857        | 0.9135                 | 0.003989     | 791.0  | -230179.251317 |
| RDNTUSDT      | 0.001297      | 0.001744    | 0.06781      | 42.55         | 0.01298      | 0.01268     | 0.04617        | 0.9581                 | 0.005161     | 86.5   | -230179.251297 |
| HIGHUSDT      | 0.001297      | 0.00143     | 0.05462      | 18.77         | 0.01201      | 0.009612    | 0.02229        | 0.9754                 | 0.0019       | 143.89 | -230179.251297 |
| LINAUSDT      | 0.001279      | 0.001133    | 0.05727      | 56.45         | 0.01876      | 0.01622     | 0.03622        | 0.9041                 | 0.00461      | 791.0  | -230179.251279 |
| SFPUSDT       | 0.001276      | 0.001271    | 0.06536      | 55.9          | 0.01586      | 0.01667     | 0.01602        | 0.8843                 | 0.004897     | 791.0  | -230179.251276 |
| STXUSDT       | 0.001275      | 0.001837    | 0.07053      | 65.87         | 0.01143      | 0.01058     | 0.0498         | 0.9523                 | 0.00383      | 129.39 | -230179.251275 |
| RVNUSDT       | 0.001274      | 0.001774    | 0.06268      | 37.33         | 0.0103       | 0.01052     | 0.007473       | 0.9289                 | 0.003911     | 791.0  | -230179.251274 |
| AGIXUSDT      | 0.001257      | 0.001814    | 0.05738      | 23.58         | 0.01006      | 0.008546    | 0.005389       | 0.9722                 | 0.002183     | 134.4  | -230179.251257 |
| ALICEUSDT     | 0.001246      | 0.001715    | 0.0626       | 28.02         | 0.009954     | 0.01304     | 0.01185        | 0.8866                 | 0.005227     | 791.0  | -230179.251246 |
| RENUSDT       | 0.001233      | 0.001357    | 0.06666      | 52.95         | 0.01944      | 0.01989     | 0.04539        | 0.8871                 | 0.007476     | 791.0  | -230179.251233 |
| WOOUSDT       | 0.001225      | 0.001595    | 0.04935      | 37.22         | 0.01133      | 0.01247     | 0.05472        | 0.9244                 | 0.004891     | 448.85 | -230179.251225 |
| ZECUSDT       | 0.001219      | 0.001375    | 0.069        | 79.9          | 0.01151      | 0.01117     | 0.01365        | 0.9377                 | 0.003865     | 791.0  | -230179.251219 |
| MINAUSDT      | 0.001209      | 0.001482    | 0.06249      | 40.37         | 0.008129     | 0.007147    | 0.003286       | 0.9812                 | 0.001624     | 143.54 | -230179.251209 |
| BELUSDT       | 0.001209      | 0.00149     | 0.07136      | 43.0          | 0.01496      | 0.01726     | 0.03476        | 0.8822                 | 0.00772      | 791.0  | -230179.251209 |
| SUSHIUSDT     | 0.001208      | 0.002015    | 0.07458      | 59.8          | 0.01195      | 0.0164      | 0.01379        | 0.8808                 | 0.006952     | 791.0  | -230179.251208 |
| HFTUSDT       | 0.001207      | 0.001722    | 0.06954      | 40.8          | 0.01069      | 0.008826    | 0.003897       | 0.9839                 | 0.001603     | 85.5   | -230179.251207 |
| OCEANUSDT     | 0.001199      | 0.001335    | 0.06619      | 30.23         | 0.01179      | 0.01278     | 0.02849        | 0.9082                 | 0.005158     | 791.0  | -230179.251199 |
| ICPUSDT       | 0.001198      | 0.001078    | 0.05852      | 46.97         | 0.008535     | 0.008514    | 0.01266        | 0.9636                 | 0.003006     | 276.89 | -230179.251198 |
| UNFIUSDT      | 0.001178      | 0.001237    | 0.05906      | 57.17         | 0.01864      | 0.01901     | 0.01971        | 0.8927                 | 0.005273     | 791.0  | -230179.251178 |
| STMXUSDT      | 0.001171      | 0.001134    | 0.07146      | 50.68         | 0.01668      | 0.01975     | 0.03433        | 0.8851                 | 0.007544     | 791.0  | -230179.251171 |
| ASTRUSDT      | 0.001171      | 0.001595    | 0.05754      | 30.97         | 0.009272     | 0.008388    | 0.008675       | 0.9858                 | 0.001398     | 136.89 | -230179.251171 |
| VETUSDT       | 0.00117       | 0.001248    | 0.06782      | 59.03         | 0.01608      | 0.01802     | 0.0643         | 0.8776                 | 0.006973     | 791.0  | -230179.25117  |
| FXSUSDT       | 0.001166      | 0.00101     | 0.07209      | 31.37         | 0.01571      | 0.01245     | 0.03407        | 0.9742                 | 0.002782     | 161.87 | -230179.251166 |
| QNTUSDT       | 0.001154      | 0.001231    | 0.04333      | 41.97         | 0.01102      | 0.009206    | 0.04925        | 0.9671                 | 0.001719     | 253.89 | -230179.251154 |
| RUNEUSDT      | 0.001151      | 0.001832    | 0.07412      | 56.22         | 0.01294      | 0.01985     | 0.03641        | 0.8617                 | 0.007769     | 791.0  | -230179.251151 |
| CELOUSDT      | 0.001147      | 0.0009062   | 0.06798      | 52.43         | 0.01728      | 0.017       | 0.06825        | 0.9329                 | 0.005113     | 641.85 | -230179.251147 |
| BANDUSDT      | 0.001142      | 0.001615    | 0.06481      | 66.03         | 0.01509      | 0.01736     | 0.009122       | 0.8733                 | 0.006094     | 791.0  | -230179.251142 |
| DGBUSDT       | 0.001135      | 0.001994    | 0.07357      | 53.08         | 0.01439      | 0.01823     | 0.02055        | 0.8654                 | 0.006676     | 791.0  | -230179.251135 |
| SPELLUSDT     | 0.001134      | 0.001066    | 0.07274      | 26.77         | 0.007727     | 0.009007    | 0.01923        | 0.9575                 | 0.004036     | 297.5  | -230179.251134 |
| HBARUSDT      | 0.001128      | 0.001787    | 0.06921      | 56.63         | 0.01076      | 0.01245     | 0.01311        | 0.8997                 | 0.005015     | 791.0  | -230179.251128 |
| LDOUSDT       | 0.001125      | 0.0008733   | 0.05652      | 57.08         | 0.01852      | 0.01538     | 0.06518        | 0.9351                 | 0.003655     | 281.5  | -230179.251125 |
| IDEXUSDT      | 0.001109      | 0.001769    | 0.06441      | 39.58         | 0.01359      | 0.01202     | 0.0006176      | 0.9824                 | 0.001943     | 58.5   | -230179.251109 |
| ICXUSDT       | 0.001105      | 0.001489    | 0.0735       | 35.68         | 0.01188      | 0.01289     | 0.06301        | 0.9095                 | 0.006047     | 791.0  | -230179.251105 |
| COTIUSDT      | 0.001103      | 0.001857    | 0.07372      | 37.1          | 0.0128       | 0.01895     | 0.07977        | 0.8704                 | 0.008185     | 791.0  | -230179.251103 |
| ZENUSDT       | 0.001093      | 0.001409    | 0.07325      | 56.22         | 0.0172       | 0.0198      | 0.01701        | 0.8726                 | 0.007138     | 791.0  | -230179.251093 |
| ONTUSDT       | 0.001087      | 0.00105     | 0.06429      | 46.65         | 0.01854      | 0.01488     | 0.06711        | 0.9569                 | 0.003281     | 791.0  | -230179.251087 |
| DENTUSDT      | 0.001085      | 0.001596    | 0.07399      | 56.52         | 0.01408      | 0.0192      | 0.05896        | 0.9072                 | 0.008618     | 791.0  | -230179.251085 |
| IMXUSDT       | 0.001076      | 0.001394    | 0.06401      | 36.77         | 0.01114      | 0.01041     | 0.02872        | 0.949                  | 0.003565     | 504.85 | -230179.251076 |
| EOSUSDT       | 0.001073      | 0.001118    | 0.07041      | 61.52         | 0.01459      | 0.01335     | 0.01796        | 0.9407                 | 0.003255     | 791.0  | -230179.251073 |
| TLMUSDT       | 0.001064      | 0.001053    | 0.06927      | 41.37         | 0.00633      | 0.005318    | 0.00266        | 0.9851                 | 0.001521     | 92.48  | -230179.251064 |
| ENJUSDT       | 0.001062      | 0.001066    | 0.07294      | 46.33         | 0.01755      | 0.01981     | 0.03989        | 0.8724                 | 0.006775     | 791.0  | -230179.251062 |
| CTKUSDT       | 0.001059      | 0.001422    | 0.0679       | 65.82         | 0.0121       | 0.01182     | 0.005432       | 0.9161                 | 0.003447     | 791.0  | -230179.251059 |
| KAVAUSDT      | 0.00105       | 0.0009483   | 0.06634      | 47.0          | 0.0182       | 0.01782     | 0.02541        | 0.927                  | 0.005519     | 791.0  | -230179.25105  |
| DOTUSDT       | 0.001041      | 0.001715    | 0.063        | 91.77         | 0.00935      | 0.0133      | 0.003575       | 0.8832                 | 0.004998     | 791.0  | -230179.251041 |
| ALGOUSDT      | 0.001028      | 0.001653    | 0.05552      | 73.65         | 0.01235      | 0.01334     | 0.00798        | 0.9004                 | 0.004525     | 791.0  | -230179.251028 |
| XMRUSDT       | 0.001022      | 0.001201    | 0.07353      | 52.32         | 0.009834     | 0.01497     | 0.03272        | 0.8907                 | 0.005933     | 791.0  | -230179.251022 |
| FILUSDT       | 0.001015      | 0.001013    | 0.06054      | 59.73         | 0.0167       | 0.01928     | 0.02249        | 0.8977                 | 0.007045     | 791.0  | -230179.251015 |
| ARPAUSDT      | 0.00101       | 0.001021    | 0.05533      | 59.63         | 0.01334      | 0.01997     | 0.05015        | 0.8748                 | 0.008037     | 619.85 | -230179.25101  |
| CVXUSDT       | 0.0009999     | 0.0008539   | 0.0705       | 59.08         | 0.01259      | 0.01179     | 0.01352        | 0.9699                 | 0.002229     | 281.49 | -230179.251    |
| MANAUSDT      | 0.0009979     | 0.001449    | 0.06399      | 76.92         | 0.01187      | 0.01611     | 0.0466         | 0.8904                 | 0.006518     | 791.0  | -230179.250998 |
| DASHUSDT      | 0.0009845     | 0.0009569   | 0.07073      | 75.15         | 0.01821      | 0.01819     | 0.07507        | 0.8944                 | 0.006673     | 791.0  | -230179.250985 |
| THETAUSDT     | 0.00098       | 0.001741    | 0.06949      | 44.07         | 0.01167      | 0.01812     | 0.04071        | 0.8805                 | 0.007914     | 791.0  | -230179.25098  |
| CRVUSDT       | 0.0009791     | 0.001523    | 0.05432      | 74.35         | 0.0129       | 0.01486     | 0.01325        | 0.901                  | 0.005292     | 791.0  | -230179.250979 |
| APTUSDT       | 0.0009676     | 0.00123     | 0.05072      | 61.67         | 0.01324      | 0.01165     | 0.005794       | 0.9723                 | 0.001995     | 254.92 | -230179.250968 |
| ANKRUSDT      | 0.0009527     | 0.001414    | 0.06175      | 64.82         | 0.01194      | 0.01898     | 0.06928        | 0.9027                 | 0.007463     | 791.0  | -230179.250953 |
| MKRUSDT       | 0.000947      | 0.001599    | 0.04406      | 75.7          | 0.01047      | 0.01251     | 0.0329         | 0.8934                 | 0.004349     | 791.0  | -230179.250947 |
| IOSTUSDT      | 0.0009341     | 0.001228    | 0.07427      | 50.82         | 0.01271      | 0.01275     | 0.01501        | 0.9221                 | 0.004689     | 791.0  | -230179.250934 |
| FTMUSDT       | 0.0009151     | 0.001374    | 0.07394      | 55.63         | 0.01554      | 0.01697     | 0.0201         | 0.889                  | 0.007031     | 791.0  | -230179.250915 |
| MATICUSDT     | 0.0009149     | 0.001444    | 0.06845      | 66.5          | 0.01172      | 0.01413     | 0.007968       | 0.8916                 | 0.005788     | 791.0  | -230179.250915 |
| SANDUSDT      | 0.0009112     | 0.001294    | 0.06785      | 71.25         | 0.0166       | 0.01944     | 0.04793        | 0.8763                 | 0.007895     | 791.0  | -230179.250911 |
| XLMUSDT       | 0.0009046     | 0.0007618   | 0.07375      | 38.07         | 0.01288      | 0.01511     | 0.06719        | 0.9141                 | 0.003481     | 791.0  | -230179.250905 |
| DUSKUSDT      | 0.0009045     | 0.001229    | 0.07042      | 62.08         | 0.01172      | 0.01309     | 0.04907        | 0.9414                 | 0.005295     | 539.85 | -230179.250904 |
| SNXUSDT       | 0.0008984     | 0.001188    | 0.06748      | 51.25         | 0.01484      | 0.01722     | 0.02839        | 0.8864                 | 0.006966     | 791.0  | -230179.250898 |
| APEUSDT       | 0.0008931     | 0.001313    | 0.06057      | 56.65         | 0.01085      | 0.01364     | 0.04037        | 0.9195                 | 0.00552      | 470.37 | -230179.250893 |
| PHBUSDT       | 0.0008904     | 0.00117     | 0.05882      | 37.65         | 0.01218      | 0.0139      | 0.04479        | 0.9451                 | 0.005724     | 134.39 | -230179.25089  |
| SKLUSDT       | 0.0008891     | 0.001348    | 0.06949      | 46.98         | 0.0154       | 0.01741     | 0.04575        | 0.878                  | 0.007099     | 791.0  | -230179.250889 |
| REEFUSDT      | 0.0008829     | 0.001016    | 0.06534      | 53.33         | 0.01717      | 0.01804     | 0.034          | 0.9291                 | 0.006964     | 791.0  | -230179.250883 |
| CHRUSDT       | 0.0008824     | 0.001532    | 0.07278      | 62.92         | 0.01454      | 0.01745     | 0.0145         | 0.9025                 | 0.007001     | 791.0  | -230179.250882 |
| UNIUSDT       | 0.0008707     | 0.001134    | 0.05827      | 55.75         | 0.01893      | 0.01836     | 0.02744        | 0.9029                 | 0.005081     | 791.0  | -230179.250871 |
