+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                           long (config no. 12077, score -56012.5005334144)                                                                           |
+-----------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol          | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
+-----------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| TRBUSDT         | 0.000399                  | 66.42         | 0.01391          | 0.03858         | 0.6707            | 0.6071                       | 0.01775         | 718.96 | -35252.710418075934 |
| KSMUSDT         | 0.0004448                 | 52.52         | 0.01408          | 0.03495         | 0.6678            | 0.6186                       | 0.0171          | 718.96 | -37077.56606917393  |
| XEMUSDT         | 0.0002929                 | 109.5         | 0.01316          | 0.0332          | 0.8901            | 0.6385                       | 0.01653         | 718.96 | -37286.86518049514  |
| LINAUSDT        | 0.0005611                 | 49.32         | 0.01424          | 0.02601         | 1.585             | 0.7582                       | 0.01507         | 718.96 | -38097.9001935973   |
| BELUSDT         | 0.0005198                 | 56.55         | 0.01231          | 0.02958         | 0.976             | 0.6542                       | 0.01449         | 718.96 | -40177.99514202557  |
| FLMUSDT         | 0.0001578                 | 47.32         | 0.01357          | 0.02773         | 1.278             | 0.7786                       | 0.01575         | 718.96 | -40474.275323301576 |
| ZRXUSDT         | -0.0001927                | 45.35         | 0.01273          | 0.02213         | 1.35              | 0.7711                       | 0.01266         | 718.96 | -42856.75231237037  |
| STMXUSDT        | -9.59e-05                 | 87.12         | 0.01315          | 0.02202         | 1.33              | 0.7623                       | 0.01274         | 718.96 | -42975.59701660204  |
| NEOUSDT         | 0.0003976                 | 63.83         | 0.01167          | 0.02264         | 1.098             | 0.7268                       | 0.01228         | 718.96 | -45755.833077031595 |
| RENUSDT         | -0.0009221                | 56.27         | 0.01272          | 0.02313         | 1.026             | 0.7424                       | 0.01288         | 718.96 | -45871.370194988005 |
| ALICEUSDT       | 0.0002141                 | 60.37         | 0.0112           | 0.02682         | 0.5738            | 0.6573                       | 0.01268         | 718.96 | -46318.316657804025 |
| BNBUSDT         | 0.0001438                 | 105.2         | 0.009409         | 0.01616         | 0.9991            | 0.7597                       | 0.008929        | 718.96 | -48929.69144614457  |
| BTCUSDT         | 0.0001958                 | 249.2         | 0.01347          | 0.01673         | 0.6634            | 0.8138                       | 0.01103         | 718.96 | -49820.51947536935  |
| MTLUSDT         | 0.000414                  | 53.8          | 0.01146          | 0.01585         | 0.8256            | 0.8093                       | 0.008972        | 718.96 | -50756.176387578205 |
| KAVAUSDT        | 0.0003092                 | 60.3          | 0.01152          | 0.01683         | 0.7661            | 0.8027                       | 0.009421        | 718.96 | -51351.88600002349  |
| UNIUSDT         | 0.0003361                 | 66.93         | 0.01167          | 0.02064         | 0.6023            | 0.7362                       | 0.01108         | 718.96 | -51910.906705057576 |
| UNFIUSDT        | 0.0009128                 | 57.27         | 0.01161          | 0.02144         | 0.5182            | 0.7927                       | 0.01175         | 718.96 | -52081.23963278587  |
| LITUSDT         | 0.0006368                 | 44.17         | 0.0122           | 0.01919         | 0.5943            | 0.7996                       | 0.01092         | 718.96 | -52146.13816929111  |
| BLZUSDT         | 0.000693                  | 56.62         | 0.01134          | 0.01747         | 0.6375            | 0.8263                       | 0.009904        | 718.96 | -52637.19855913917  |
| BCHUSDT         | 0.0002204                 | 82.58         | 0.009714         | 0.01165         | 0.6115            | 0.8496                       | 0.006265        | 718.96 | -52897.72110325123  |
| KNCUSDT         | 0.0002869                 | 68.07         | 0.01124          | 0.01738         | 0.5928            | 0.7949                       | 0.009295        | 718.96 | -53084.849972356176 |
| LTCUSDT         | 7.409e-05                 | 76.8          | 0.009066         | 0.01123         | 0.5678            | 0.8359                       | 0.005796        | 718.96 | -53334.00961959963  |
| BALUSDT         | 0.0003492                 | 89.97         | 0.01163          | 0.01945         | 0.5259            | 0.7414                       | 0.01014         | 718.96 | -53610.612023621106 |
| SFPUSDT         | 0.0003042                 | 49.88         | 0.01099          | 0.01735         | 0.5209            | 0.7944                       | 0.009536        | 718.96 | -53803.32749224656  |
| ZENUSDT         | 0.0004821                 | 82.42         | 0.01071          | 0.01715         | 0.5158            | 0.757                        | 0.008856        | 718.96 | -53854.848068902604 |
| SXPUSDT         | 0.0005669                 | 81.47         | 0.01149          | 0.01825         | 0.4578            | 0.8143                       | 0.01055         | 718.96 | -53887.63566143304  |
| TOMOUSDT        | 0.0005115                 | 60.18         | 0.01077          | 0.01399         | 0.5064            | 0.8338                       | 0.007407        | 718.96 | -53948.26435156401  |
| FTMUSDT         | 0.0006832                 | 62.82         | 0.01108          | 0.02306         | 0.325             | 0.6967                       | 0.01145         | 718.96 | -53988.227327251465 |
| IOSTUSDT        | 0.0002431                 | 91.72         | 0.0105           | 0.01825         | 0.4978            | 0.7428                       | 0.009754        | 718.96 | -54034.078807251935 |
