+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| AXSUSDT      | 0.001436                  | 61.97         | 0.01504          | 0.01652         | 0.2942            | 0.9068                       | 0.005265        | 713.96 | -56012.50143614948  |
| CTKUSDT      | 0.001426                  | 80.23         | 0.01123          | 0.01012         | 0.2931            | 0.8891                       | 0.006383        | 713.96 | -56012.50142551762  |
| CELRUSDT     | 0.001398                  | 91.92         | 0.0156           | 0.01583         | 0.09891           | 0.7817                       | 0.009966        | 713.96 | -56012.50139762281  |
| DOTUSDT      | 0.001386                  | 75.47         | 0.009317         | 0.0138          | 0.1532            | 0.7924                       | 0.008635        | 713.96 | -56012.50138600872  |
| RENUSDT      | 0.001373                  | 72.8          | 0.01657          | 0.01947         | 0.149             | 0.7703                       | 0.009755        | 713.96 | -56012.50137280747  |
| OMGUSDT      | 0.001351                  | 82.92         | 0.01462          | 0.01759         | 0.2055            | 0.7831                       | 0.009992        | 713.96 | -56012.50135136908  |
| EOSUSDT      | 0.001336                  | 89.82         | 0.01356          | 0.01538         | 0.2754            | 0.8549                       | 0.009845        | 713.96 | -56012.501336249115 |
| ZILUSDT      | 0.001313                  | 77.2          | 0.009054         | 0.01398         | 0.1032            | 0.8099                       | 0.009047        | 713.96 | -56012.50131325085  |
| ADAUSDT      | 0.001298                  | 67.93         | 0.007646         | 0.01745         | 0.2585            | 0.7949                       | 0.009533        | 713.96 | -56012.50129752209  |
| WAVESUSDT    | 0.001294                  | 77.05         | 0.01509          | 0.016           | 0.2671            | 0.8328                       | 0.00949         | 713.96 | -56012.50129408328  |
| TOMOUSDT     | 0.001285                  | 81.35         | 0.01189          | 0.009964        | 0.2753            | 0.9507                       | 0.002075        | 702.96 | -56012.50128511069  |
| ZRXUSDT      | 0.001229                  | 84.35         | 0.007555         | 0.01175         | 0.2627            | 0.8832                       | 0.005313        | 713.96 | -56012.50122917211  |
| BATUSDT      | 0.001227                  | 78.9          | 0.01309          | 0.01321         | 0.1491            | 0.8431                       | 0.009354        | 713.96 | -56012.50122713261  |
| BLZUSDT      | 0.001225                  | 85.1          | 0.014            | 0.01711         | 0.2489            | 0.7825                       | 0.009101        | 713.96 | -56012.501225278844 |
| SXPUSDT      | 0.001219                  | 76.45         | 0.01308          | 0.0154          | 0.2616            | 0.8432                       | 0.008679        | 713.96 | -56012.50121945118  |
| THETAUSDT    | 0.001218                  | 75.1          | 0.01197          | 0.01107         | 0.1615            | 0.8603                       | 0.008164        | 713.96 | -56012.501218339254 |
| DGBUSDT      | 0.001215                  | 92.63         | 0.01474          | 0.01914         | 0.2706            | 0.7735                       | 0.009944        | 713.96 | -56012.501215185956 |
| BALUSDT      | 0.001209                  | 69.23         | 0.01054          | 0.01552         | 0.2574            | 0.8269                       | 0.008838        | 713.96 | -56012.50120925902  |
| OGNUSDT      | 0.001209                  | 53.52         | 0.00891          | 0.01667         | 0.1771            | 0.7639                       | 0.009614        | 713.96 | -56012.50120915832  |
| NEARUSDT     | 0.001178                  | 81.6          | 0.01405          | 0.01244         | 0.1843            | 0.8502                       | 0.005029        | 713.96 | -56012.50117763426  |
| DEFIUSDT     | 0.001172                  | 79.4          | 0.01222          | 0.012           | 0.06432           | 0.8419                       | 0.007927        | 713.96 | -56012.501172211516 |
| FTMUSDT      | 0.001161                  | 90.6          | 0.01342          | 0.01537         | 0.1663            | 0.7609                       | 0.008011        | 713.96 | -56012.501160961256 |
| MTLUSDT      | 0.001154                  | 82.37         | 0.01527          | 0.01863         | 0.09924           | 0.8255                       | 0.0098          | 713.96 | -56012.50115367105  |
| ZENUSDT      | 0.001145                  | 90.48         | 0.01815          | 0.01587         | 0.2993            | 0.8184                       | 0.009715        | 713.96 | -56012.501144515016 |
| UNIUSDT      | 0.001127                  | 64.92         | 0.01302          | 0.01676         | 0.2595            | 0.7512                       | 0.00995         | 713.96 | -56012.50112721503  |
| QTUMUSDT     | 0.001126                  | 90.08         | 0.01021          | 0.009462        | 0.1703            | 0.8944                       | 0.004376        | 713.96 | -56012.50112595569  |
| ENJUSDT      | 0.001116                  | 93.37         | 0.01415          | 0.01801         | 0.2879            | 0.7587                       | 0.009537        | 713.96 | -56012.50111643766  |
| DENTUSDT     | 0.001113                  | 90.75         | 0.01333          | 0.01121         | 0.1881            | 0.9119                       | 0.003642        | 713.96 | -56012.50111257908  |
| 1INCHUSDT    | 0.001101                  | 60.65         | 0.0112           | 0.02016         | 0.1198            | 0.7635                       | 0.009518        | 713.96 | -56012.50110085946  |
| EGLDUSDT     | 0.001095                  | 93.3          | 0.01072          | 0.0156          | 0.09837           | 0.8232                       | 0.009881        | 713.96 | -56012.50109501385  |
| LTCUSDT      | 0.001088                  | 83.1          | 0.008492         | 0.01893         | 0.2062            | 0.7489                       | 0.009681        | 713.96 | -56012.50108781092  |
| LINKUSDT     | 0.001087                  | 78.25         | 0.01133          | 0.01806         | 0.1217            | 0.7561                       | 0.009666        | 713.96 | -56012.501087265904 |
| NEOUSDT      | 0.001083                  | 76.75         | 0.01216          | 0.01304         | 0.2696            | 0.8391                       | 0.006585        | 713.96 | -56012.50108251748  |
| BELUSDT      | 0.001078                  | 84.3          | 0.01321          | 0.01997         | 0.2458            | 0.7389                       | 0.009592        | 713.96 | -56012.50107849052  |
| AAVEUSDT     | 0.001066                  | 79.73         | 0.01558          | 0.01694         | 0.2753            | 0.8126                       | 0.009262        | 713.96 | -56012.50106595445  |
| ICXUSDT      | 0.001033                  | 88.95         | 0.01236          | 0.01473         | 0.1959            | 0.829                        | 0.009932        | 713.96 | -56012.50103260481  |
| CHRUSDT      | 0.001031                  | 76.63         | 0.01353          | 0.01384         | 0.1952            | 0.8214                       | 0.009352        | 713.96 | -56012.501031076    |
| ONTUSDT      | 0.001018                  | 88.95         | 0.01508          | 0.0176          | 0.04932           | 0.8259                       | 0.009184        | 713.96 | -56012.501017916205 |
| XLMUSDT      | 0.001015                  | 78.55         | 0.008933         | 0.01316         | 0.2513            | 0.791                        | 0.009615        | 713.96 | -56012.50101518902  |
| XMRUSDT      | 0.0009722                 | 53.8          | 0.006854         | 0.01242         | 0.259             | 0.8514                       | 0.008429        | 713.96 | -56012.5009721832   |
| COMPUSDT     | 0.0009711                 | 90.55         | 0.01252          | 0.01409         | 0.2177            | 0.8326                       | 0.008962        | 713.96 | -56012.50097111931  |
