# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| 1000FLOKIUSDT | 0.001279      | 0.001095    | 0.06159      | 72.0          | 0.0184       | 0.0111      | 0.009051       | 0.9782                 | 0.002366     | 55.29  | -240179.251279 |
| MTLUSDT       | 0.00127       | 0.001612    | 0.05034      | 95.87         | 0.0156       | 0.017       | 0.0764         | 0.892                  | 0.005952     | 790.96 | -240179.25127  |
| CELRUSDT      | 0.001243      | 0.001996    | 0.06753      | 95.97         | 0.0151       | 0.01554     | 0.01128        | 0.8817                 | 0.005632     | 790.96 | -240179.251243 |
| ICPUSDT       | 0.001238      | 0.001148    | 0.03547      | 83.17         | 0.01066      | 0.008179    | 0.0            | 0.9757                 | 0.001148     | 276.88 | -240179.251238 |
| GRTUSDT       | 0.001229      | 0.001881    | 0.07144      | 75.32         | 0.0131       | 0.01891     | 0.07027        | 0.8581                 | 0.00757      | 790.96 | -240179.251229 |
| ATOMUSDT      | 0.001186      | 0.002626    | 0.0714       | 92.58         | 0.009895     | 0.01947     | 0.06098        | 0.8674                 | 0.007626     | 790.96 | -240179.251186 |
| OPUSDT        | 0.001157      | 0.001771    | 0.07265      | 63.27         | 0.01532      | 0.01645     | 0.05319        | 0.8966                 | 0.006676     | 394.38 | -240179.251157 |
| HIGHUSDT      | 0.001152      | 0.001232    | 0.05588      | 50.18         | 0.01925      | 0.01566     | 0.0            | 0.9645                 | 0.004237     | 143.88 | -240179.251152 |
| LRCUSDT       | 0.001137      | 0.00204     | 0.07025      | 77.15         | 0.01326      | 0.01514     | 0.0515         | 0.8726                 | 0.007151     | 790.96 | -240179.251137 |
| LQTYUSDT      | 0.001104      | 0.001356    | 0.04711      | 41.22         | 0.01171      | 0.01416     | 0.05543        | 0.936                  | 0.005641     | 112.46 | -240179.251104 |
| RVNUSDT       | 0.001098      | 0.002014    | 0.06469      | 94.55         | 0.01017      | 0.01393     | 0.07099        | 0.8745                 | 0.005539     | 790.96 | -240179.251098 |
| OMGUSDT       | 0.001095      | 0.00165     | 0.07339      | 91.92         | 0.01374      | 0.01162     | 0.02566        | 0.9167                 | 0.004132     | 790.96 | -240179.251095 |
| ACHUSDT       | 0.001092      | 0.001405    | 0.04597      | 74.3          | 0.01835      | 0.01264     | 0.0            | 0.976                  | 0.002385     | 128.38 | -240179.251092 |
| OCEANUSDT     | 0.00109       | 0.001459    | 0.07183      | 86.4          | 0.01691      | 0.01468     | 0.09747        | 0.8918                 | 0.005659     | 790.96 | -240179.25109  |
| LDOUSDT       | 0.001087      | 0.001294    | 0.05905      | 70.07         | 0.01242      | 0.01835     | 0.03731        | 0.886                  | 0.006892     | 281.46 | -240179.251087 |
| UNFIUSDT      | 0.001018      | 0.001797    | 0.07155      | 85.1          | 0.01731      | 0.01681     | 0.03737        | 0.8791                 | 0.00689      | 790.96 | -240179.251018 |
| ALGOUSDT      | 0.001015      | 0.001652    | 0.04873      | 92.02         | 0.01087      | 0.01243     | 0.01022        | 0.8991                 | 0.004313     | 790.96 | -240179.251015 |
| ETCUSDT       | 0.001006      | 0.001666    | 0.04578      | 57.35         | 0.008094     | 0.01727     | 0.0903         | 0.9012                 | 0.006128     | 790.96 | -240179.251006 |
| MAGICUSDT     | 0.001001      | 0.0009665   | 0.02644      | 64.02         | 0.01808      | 0.01549     | 0.0535         | 0.9447                 | 0.005201     | 156.83 | -240179.251001 |
| NEARUSDT      | 0.0009997     | 0.001803    | 0.05992      | 93.68         | 0.01539      | 0.01766     | 0.07147        | 0.9038                 | 0.006447     | 790.96 | -240179.251    |
| RSRUSDT       | 0.0009918     | 0.001191    | 0.04362      | 94.52         | 0.01838      | 0.019       | 0.06529        | 0.8616                 | 0.006868     | 790.96 | -240179.250992 |
| ALICEUSDT     | 0.0009917     | 0.002066    | 0.05123      | 90.7          | 0.0114       | 0.01301     | 0.01917        | 0.89                   | 0.00485      | 790.96 | -240179.250992 |
| QNTUSDT       | 0.000982      | 0.001288    | 0.03813      | 75.57         | 0.00874      | 0.007118    | 0.0            | 0.9736                 | 0.001256     | 253.88 | -240179.250982 |
| ARPAUSDT      | 0.0009788     | 0.00098     | 0.02843      | 60.25         | 0.00936      | 0.01747     | 0.06384        | 0.9103                 | 0.005854     | 619.83 | -240179.250979 |
| ONTUSDT       | 0.0009739     | 0.001205    | 0.05253      | 92.05         | 0.01158      | 0.01565     | 0.09324        | 0.8883                 | 0.00634      | 790.96 | -240179.250974 |
| GALAUSDT      | 0.0009545     | 0.001336    | 0.04831      | 63.5          | 0.009327     | 0.01341     | 0.08495        | 0.9411                 | 0.005103     | 650.83 | -240179.250954 |
