+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| ARUSDT       | 0.003154                  | 56.88         | 0.009486         | 0.01262         | 0.2733            | 0.9244                       | 0.008504        | 549.83 | -56012.50315372426  |
| GRTUSDT      | 0.003084                  | 48.95         | 0.007937         | 0.01805         | 0.2433            | 0.8211                       | 0.009381        | 699.96 | -56012.50308397086  |
| HNTUSDT      | 0.003082                  | 57.32         | 0.01055          | 0.01398         | 0.2079            | 0.8878                       | 0.008966        | 699.96 | -56012.50308217216  |
| HBARUSDT     | 0.002781                  | 62.43         | 0.00735          | 0.01511         | 0.2479            | 0.8624                       | 0.008798        | 699.96 | -56012.50278131019  |
| MANAUSDT     | 0.002756                  | 74.52         | 0.009999         | 0.01184         | 0.1401            | 0.7286                       | 0.009922        | 699.96 | -56012.50275585914  |
| DUSKUSDT     | 0.002749                  | 71.17         | 0.01256          | 0.01563         | 0.2001            | 0.889                        | 0.009052        | 448.83 | -56012.50274900746  |
| CELOUSDT     | 0.002743                  | 80.52         | 0.01094          | 0.01278         | 0.157             | 0.8865                       | 0.009547        | 550.83 | -56012.502743282326 |
| CVXUSDT      | 0.002705                  | 91.2          | 0.01182          | 0.0107          | 0.1159            | 0.9352                       | 0.009131        | 190.46 | -56012.50270481952  |
| APEUSDT      | 0.002662                  | 87.18         | 0.009835         | 0.01277         | 0.287             | 0.8664                       | 0.00978         | 379.33 | -56012.50266199419  |
| SANDUSDT     | 0.002557                  | 67.78         | 0.01014          | 0.01414         | 0.1176            | 0.8609                       | 0.009409        | 699.96 | -56012.50255691624  |
| DOGEUSDT     | 0.002556                  | 67.83         | 0.008383         | 0.01201         | 0.2198            | 0.817                        | 0.009525        | 699.96 | -56012.50255649847  |
| GALUSDT      | 0.002446                  | 63.2          | 0.008103         | 0.01562         | 0.2618            | 0.8839                       | 0.006561        | 330.38 | -56012.5024462743   |
| ETCUSDT      | 0.002309                  | 38.4          | 0.006018         | 0.01139         | 0.2052            | 0.8904                       | 0.006667        | 699.96 | -56012.502309479474 |
| ROSEUSDT     | 0.002298                  | 53.72         | 0.004745         | 0.00495         | 0.2941            | 0.8836                       | 0.001944        | 455.83 | -56012.50229826009  |
| DYDXUSDT     | 0.00229                   | 82.9          | 0.01677          | 0.01383         | 0.2604            | 0.9003                       | 0.006518        | 567.83 | -56012.50229022023  |
| JASMYUSDT    | 0.002285                  | 47.03         | 0.009143         | 0.009012        | 0.1236            | 0.7868                       | 0.004549        | 345.83 | -56012.50228468173  |
| LRCUSDT      | 0.002211                  | 71.5          | 0.009761         | 0.01567         | 0.09056           | 0.8475                       | 0.009513        | 699.96 | -56012.50221141099  |
| LUNA2USDT    | 0.002158                  | 89.7          | 0.01268          | 0.01656         | 0.18              | 0.859                        | 0.009831        | 202.83 | -56012.50215839088  |
| FLOWUSDT     | 0.002145                  | 31.6          | 0.007467         | 0.01047         | 0.1672            | 0.9088                       | 0.008319        | 414.83 | -56012.50214474132  |
| BANDUSDT     | 0.00211                   | 41.0          | 0.007316         | 0.01302         | 0.2679            | 0.9038                       | 0.008402        | 699.96 | -56012.50210960611  |
| MASKUSDT     | 0.002098                  | 90.38         | 0.01354          | 0.01609         | 0.2661            | 0.8467                       | 0.008481        | 581.83 | -56012.50209844374  |
| ANKRUSDT     | 0.002088                  | 52.4          | 0.009016         | 0.01489         | 0.2793            | 0.7846                       | 0.009262        | 699.96 | -56012.50208814586  |
