,timestamp,bkr_price_long,bkr_price_short,psize_long,pprice_long,psize_short,pprice_short,price,closest_bkr_long,closest_bkr_short,balance_long,balance_short,equity_long,equity_short,wallet_exposure_long,wallet_exposure_short
0,1619827202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30033,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
1,1619830802000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29752,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
2,1619834402000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29773,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
3,1619838002000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29599,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
4,1619841602000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29806,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
5,1619845202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29588,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
6,1619848802000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29756,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
7,1619852402000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29478,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
8,1619856002000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29288,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
9,1619859602000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28856,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
10,1619863202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29141,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
11,1619866802000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29685,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
12,1619870402000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29807,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
13,1619874002000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
14,1619877602000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29997,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
15,1619881202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30599,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
16,1619884802000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31043,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
17,1619888402000.0,0.0,0.0,2.0,0.3110925,0.0,0.0,0.31224,1.0,1.0,1050.00511865,1050.0,1050.00741365,1050.0,0.0005925542542115873,0.0
18,1619892002000.0,0.0,0.0,2.0,0.31245625,0.0,0.0,0.31322,1.0,1.0,1050.007723392,1050.0,1050.009250892,1050.0,0.0005951503842097941,0.0
19,1619895602000.0,0.0,0.0,2.0,0.33351,0.0,0.0,0.3311,1.0,1.0,1050.0445978570003,1050.0,1050.0397778570002,1050.0,0.0006352301619962599,0.0
20,1619899202000.0,0.0,0.0,2.0,0.33498,0.0,0.0,0.33473,1.0,1.0,1050.0473905750005,1050.0,1050.0468905750004,1050.0,0.0006380283461617227,0.0
21,1619902802000.0,0.0,0.0,2.0,0.331445,0.0,0.0,0.3273,1.0,1.0,1050.0649296150004,1050.0,1050.0566396150004,1050.0,0.000631284772307408,0.0
22,1619906402000.0,0.0,0.0,14.0,0.3214138888888889,0.0,0.0,0.32023,1.0,1.0,1050.0753121354446,1050.0,1050.0587376910003,1050.0,0.004285211158134566,0.0
23,1619910002000.0,0.0,0.0,14.0,0.3214138888888889,0.0,0.0,0.32169,1.0,1.0,1050.0753121354446,1050.0,1050.0791776910003,1050.0,0.004285211158134566,0.0
24,1619913602000.0,0.0,0.0,2.0,0.32814774305555555,0.0,0.0,0.32729,1.0,1.0,1050.1369705121117,1050.0,1050.1352550260006,1050.0,0.0006249617950228539,0.0
25,1619917202000.0,0.0,0.0,18.0,0.3182186381172839,0.0,0.0,0.3165,1.0,1.0,1050.1364633481116,1050.0,1050.1055278620006,1050.0,0.005454467763026667,0.0
26,1619920802000.0,0.0,0.0,55.0,0.3132480997474747,0.0,0.0,0.31165,1.0,1.0,1050.1353132771117,1050.0,1050.0474177910005,1050.0,0.01640611954315337,0.0
