+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| ATOMUSDT     | 0.000437                  | 66.78         | 0.009459         | 0.008392        | 0.0386            | 0.9266                       | 0.002627        | 720.96 | -56012.500437038514 |
| FILUSDT      | 0.0004186                 | 67.92         | 0.008799         | 0.01474         | 0.2491            | 0.7899                       | 0.007819        | 720.96 | -56012.50041856796  |
| VETUSDT      | 0.0004158                 | 92.97         | 0.009216         | 0.008801        | 0.02755           | 0.8988                       | 0.0033          | 720.96 | -56012.500415835486 |
| CTKUSDT      | 0.0004151                 | 65.72         | 0.009607         | 0.008825        | 0.0288            | 0.9095                       | 0.002904        | 720.96 | -56012.50041507043  |
| ALGOUSDT     | 0.0004115                 | 58.52         | 0.009446         | 0.007828        | 0.09626           | 0.943                        | 0.002226        | 720.96 | -56012.50041146537  |
| ONTUSDT      | 0.0003669                 | 59.02         | 0.009685         | 0.009281        | 0.09912           | 0.8891                       | 0.003581        | 720.96 | -56012.50036688708  |
| XRPUSDT      | 0.0003621                 | 58.98         | 0.00792          | 0.00661         | 0.005924          | 0.9713                       | 0.001135        | 720.96 | -56012.50036207837  |
| IOTAUSDT     | 0.0003589                 | 55.92         | 0.01009          | 0.01285         | 0.2777            | 0.801                        | 0.006287        | 720.96 | -56012.500358891804 |
| NEARUSDT     | 0.0003531                 | 71.83         | 0.009941         | 0.009298        | 0.2114            | 0.9037                       | 0.004087        | 720.96 | -56012.5003530556   |
| ETCUSDT      | 0.0003284                 | 62.7          | 0.008304         | 0.007869        | 0.1533            | 0.9289                       | 0.002873        | 720.96 | -56012.500328377646 |
| DOTUSDT      | 0.0003077                 | 73.88         | 0.009984         | 0.01136         | 0.2595            | 0.8377                       | 0.005537        | 720.96 | -56012.50030773491  |
| ADAUSDT      | 0.0003073                 | 90.38         | 0.009307         | 0.00817         | 0.1484            | 0.9179                       | 0.003126        | 720.96 | -56012.50030726145  |
| DASHUSDT     | 0.00023                   | 53.17         | 0.009625         | 0.009025        | 0.1321            | 0.9189                       | 0.003124        | 720.96 | -56012.500229952246 |
| RLCUSDT      | 0.000216                  | 50.68         | 0.01062          | 0.01302         | 0.2842            | 0.8289                       | 0.00673         | 720.96 | -56012.50021603139  |
| CHRUSDT      | 0.0001449                 | 62.25         | 0.009944         | 0.01135         | 0.2856            | 0.8657                       | 0.00574         | 720.96 | -56012.500144876874 |
| ENJUSDT      | 2.807e-05                 | 65.52         | 0.009462         | 0.009523        | 0.1595            | 0.8967                       | 0.003877        | 720.96 | -56012.50002807203  |
| DENTUSDT     | 0.0004838                 | 101.5         | 0.009732         | 0.01462         | 0.1121            | 0.775                        | 0.006796        | 720.96 | -55957.66715050921  |
| 1INCHUSDT    | 0.0004596                 | 103.7         | 0.009544         | 0.009165        | 0.1944            | 0.9001                       | 0.003712        | 720.96 | -55935.6671262867   |
| BATUSDT      | 0.0003675                 | 85.32         | 0.01048          | 0.01142         | 0.3113            | 0.8547                       | 0.005851        | 720.96 | -55899.34709864973  |
| AXSUSDT      | 0.0001044                 | 71.25         | 0.01115          | 0.01187         | 0.3239            | 0.8713                       | 0.006334        | 720.96 | -55773.416330748485 |
| TRXUSDT      | 0.0003117                 | 124.5         | 0.009065         | 0.009035        | 0.159             | 0.8954                       | 0.004246        | 720.96 | -55727.33364500772  |
| ETHUSDT      | 0.0002217                 | 109.5         | 0.009458         | 0.008077        | 0.3237            | 0.9551                       | 0.002498        | 720.96 | -55641.01288231644  |
| NEOUSDT      | 0.0004429                 | 80.48         | 0.01476          | 0.009946        | 0.3445            | 0.9486                       | 0.001816        | 720.96 | -55567.31452282326  |
| CRVUSDT      | 0.0004662                 | 53.13         | 0.01087          | 0.01265         | 0.3493            | 0.8336                       | 0.006498        | 720.96 | -55519.62070743657  |
| DGBUSDT      | 0.0004117                 | 50.38         | 0.01053          | 0.02026         | 0.3525            | 0.7519                       | 0.009496        | 720.96 | -55487.52570695223  |
| XMRUSDT      | 0.0002645                 | 151.2         | 0.009287         | 0.00835         | 0.07567           | 0.9457                       | 0.002247        | 720.96 | -55460.16693121116  |
| XLMUSDT      | 0.0003245                 | 170.3         | 0.009432         | 0.0111          | 0.0009053         | 0.892                        | 0.003997        | 720.96 | -55269.83365783589  |
| ANKRUSDT     | 0.000314                  | 172.5         | 0.01662          | 0.02549         | 0.08645           | 0.896                        | 0.007113        | 720.96 | -55246.67583725159  |
| ICXUSDT      | 0.0001608                 | 184.6         | 0.03179          | 0.02272         | 0.0               | 0.9507                       | 0.002923        | 720.96 | -55125.48740230034  |
