+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                          long                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| RENUSDT   | 0.001193      | 0.001415    | 0.06987      | 52.88         | 0.01904      | 0.01894     | 0.03699        | 0.9036                 | 0.005786     | 791.0  | -480179.301193 |
| UNIUSDT   | 0.001177      | 0.001552    | 0.06787      | 55.25         | 0.01367      | 0.01446     | 0.01578        | 0.9408                 | 0.003232     | 791.0  | -480179.301177 |
| ANKRUSDT  | 0.00116       | 0.001706    | 0.06934      | 63.2          | 0.01145      | 0.01718     | 0.05259        | 0.9116                 | 0.006423     | 791.0  | -480179.30116  |
| SUSHIUSDT | 0.001142      | 0.001911    | 0.06875      | 58.53         | 0.01232      | 0.01636     | 0.01718        | 0.9334                 | 0.005796     | 791.0  | -480179.301142 |
| CTKUSDT   | 0.001136      | 0.001485    | 0.0682       | 65.28         | 0.01273      | 0.0126      | 0.01985        | 0.9313                 | 0.003117     | 791.0  | -480179.301136 |
| NEARUSDT  | 0.00112       | 0.001667    | 0.05957      | 78.72         | 0.01196      | 0.01902     | 0.03813        | 0.9002                 | 0.006101     | 791.0  | -480179.30112  |
| DGBUSDT   | 0.001116      | 0.001842    | 0.0685       | 53.05         | 0.0135       | 0.01838     | 0.02543        | 0.8835                 | 0.005665     | 791.0  | -480179.301116 |
| KSMUSDT   | 0.001104      | 0.001752    | 0.06841      | 73.13         | 0.01596      | 0.01637     | 0.09741        | 0.9441                 | 0.003459     | 791.0  | -480179.301104 |
| MANAUSDT  | 0.001084      | 0.001796    | 0.0674       | 76.75         | 0.009601     | 0.01336     | 0.03288        | 0.9153                 | 0.004858     | 791.0  | -480179.301084 |
| XMRUSDT   | 0.001065      | 0.001056    | 0.05905      | 36.77         | 0.0101       | 0.01052     | 0.02278        | 0.9537                 | 0.001824     | 791.0  | -480179.301065 |
| LITUSDT   | 0.001057      | 0.001112    | 0.0536       | 52.45         | 0.01802      | 0.01738     | 0.0218         | 0.9561                 | 0.003588     | 791.0  | -480179.301057 |
| STMXUSDT  | 0.00104       | 0.001555    | 0.06246      | 55.23         | 0.01301      | 0.01607     | 0.04025        | 0.9062                 | 0.00538      | 791.0  | -480179.30104  |
| ENJUSDT   | 0.001038      | 0.001821    | 0.06613      | 45.27         | 0.01139      | 0.01481     | 0.05413        | 0.9214                 | 0.005117     | 791.0  | -480179.301038 |
| LINAUSDT  | 0.001036      | 0.0009966   | 0.06864      | 64.18         | 0.01992      | 0.01868     | 0.03839        | 0.9173                 | 0.005399     | 791.0  | -480179.301036 |
| LINKUSDT  | 0.001005      | 0.001542    | 0.05728      | 52.28         | 0.009753     | 0.01394     | 0.02199        | 0.894                  | 0.004146     | 791.0  | -480179.301005 |
| KAVAUSDT  | 0.0009826     | 0.0009009   | 0.06359      | 58.42         | 0.01859      | 0.01969     | 0.03653        | 0.9155                 | 0.005206     | 791.0  | -480179.300983 |
| SNXUSDT   | 0.0009812     | 0.001469    | 0.06596      | 64.15         | 0.01467      | 0.01679     | 0.05254        | 0.9101                 | 0.005905     | 791.0  | -480179.300981 |
| IOSTUSDT  | 0.0009581     | 0.0013      | 0.06914      | 47.42         | 0.01106      | 0.01432     | 0.02056        | 0.9031                 | 0.005039     | 791.0  | -480179.300958 |
| ONEUSDT   | 0.0009571     | 0.001734    | 0.04846      | 62.77         | 0.01028      | 0.01558     | 0.07405        | 0.8984                 | 0.004926     | 791.0  | -480179.300957 |
| FILUSDT   | 0.0009499     | 0.001191    | 0.0539       | 64.35         | 0.01253      | 0.01869     | 0.01749        | 0.9079                 | 0.005984     | 791.0  | -480179.30095  |
| OGNUSDT   | 0.0009435     | 0.001273    | 0.05953      | 52.17         | 0.01823      | 0.01643     | 0.04731        | 0.93                   | 0.003302     | 791.0  | -480179.300943 |
| EOSUSDT   | 0.0009338     | 0.001131    | 0.06817      | 59.43         | 0.01393      | 0.01193     | 0.02521        | 0.9541                 | 0.002672     | 791.0  | -480179.300934 |
| ZENUSDT   | 0.0009268     | 0.001173    | 0.06968      | 55.38         | 0.01755      | 0.01981     | 0.03779        | 0.8932                 | 0.00587      | 791.0  | -480179.300927 |
| 1INCHUSDT | 0.0009269     | 0.001372    | 0.06437      | 47.67         | 0.01103      | 0.01403     | 0.04879        | 0.9294                 | 0.005038     | 791.0  | -480179.300927 |
| ADAUSDT   | 0.0008998     | 0.001423    | 0.06675      | 58.52         | 0.01141      | 0.01996     | 0.03497        | 0.9155                 | 0.00711      | 791.0  | -480179.3009   |
| BCHUSDT   | 0.0008997     | 0.001127    | 0.06972      | 62.75         | 0.01071      | 0.01634     | 0.05182        | 0.9299                 | 0.005613     | 791.0  | -480179.3009   |
| RSRUSDT   | 0.0008953     | 0.001357    | 0.05731      | 51.82         | 0.01327      | 0.01713     | 0.04711        | 0.9207                 | 0.005341     | 791.0  | -480179.300895 |
| MATICUSDT | 0.0008818     | 0.001374    | 0.06317      | 39.33         | 0.01141      | 0.01219     | 0.01009        | 0.9257                 | 0.004056     | 791.0  | -480179.300882 |
| BANDUSDT  | 0.0008696     | 0.001256    | 0.06973      | 52.23         | 0.01477      | 0.01514     | 0.00949        | 0.9271                 | 0.00456      | 791.0  | -480179.30087  |
| VETUSDT   | 0.0008405     | 0.000899    | 0.05541      | 59.37         | 0.01436      | 0.01731     | 0.0198         | 0.8973                 | 0.004844     | 791.0  | -480179.300841 |
| CHRUSDT   | 0.0008347     | 0.001444    | 0.06889      | 63.4          | 0.01412      | 0.01662     | 0.01971        | 0.9199                 | 0.005471     | 791.0  | -480179.300835 |
| ZRXUSDT   | 0.0008301     | 0.001064    | 0.06705      | 61.95         | 0.01864      | 0.01953     | 0.06635        | 0.9076                 | 0.006052     | 791.0  | -480179.30083  |
| UNFIUSDT  | 0.000828      | 0.001243    | 0.05737      | 53.7          | 0.01694      | 0.01825     | 0.01597        | 0.8987                 | 0.005252     | 791.0  | -480179.300828 |
| DASHUSDT  | 0.0008269     | 0.001031    | 0.06267      | 75.13         | 0.01402      | 0.01701     | 0.09254        | 0.9325                 | 0.005603     | 791.0  | -480179.300827 |
| ALGOUSDT  | 0.0008187     | 0.001013    | 0.05265      | 44.75         | 0.01227      | 0.01266     | 0.0447         | 0.9298                 | 0.003597     | 791.0  | -480179.300819 |
| BNBUSDT   | 0.0008143     | 0.001334    | 0.06317      | 49.47         | 0.006657     | 0.009043    | 0.05814        | 0.9229                 | 0.002955     | 791.0  | -480179.300814 |
| STORJUSDT | 0.0008125     | 0.001236    | 0.06647      | 66.82         | 0.01777      | 0.01749     | 0.0882         | 0.9055                 | 0.005182     | 791.0  | -480179.300812 |
| COMPUSDT  | 0.000804      | 0.001507    | 0.06979      | 88.65         | 0.01688      | 0.01947     | 0.08122        | 0.9017                 | 0.006837     | 791.0  | -480179.300804 |
| SFPUSDT   | 0.000804      | 0.001293    | 0.06858      | 55.92         | 0.01664      | 0.0193      | 0.0209         | 0.8955                 | 0.006229     | 791.0  | -480179.300804 |
| ALPHAUSDT | 0.0007607     | 0.0009793   | 0.06151      | 58.28         | 0.01863      | 0.01839     | 0.02831        | 0.9142                 | 0.00547      | 791.0  | -480179.300761 |
| IOTAUSDT  | 0.0007509     | 0.0007954   | 0.06224      | 92.68         | 0.01708      | 0.01969     | 0.04595        | 0.9179                 | 0.005302     | 791.0  | -480179.300751 |
| ONTUSDT   | 0.0007314     | 0.0008907   | 0.06995      | 42.7          | 0.01575      | 0.01567     | 0.04816        | 0.9301                 | 0.005253     | 791.0  | -480179.300731 |
| ETCUSDT   | 0.0007213     | 0.001176    | 0.06723      | 70.38         | 0.01212      | 0.0152      | 0.04462        | 0.9191                 | 0.005181     | 791.0  | -480179.300721 |
| XTZUSDT   | 0.0007182     | 0.0008794   | 0.06712      | 54.43         | 0.01512      | 0.01359     | 0.01446        | 0.9495                 | 0.003407     | 791.0  | -480179.300718 |
| FLMUSDT   | 0.0007079     | 0.0008363   | 0.06831      | 55.12         | 0.0199       | 0.01701     | 0.06191        | 0.9443                 | 0.004276     | 791.0  | -480179.300708 |
| SOLUSDT   | 0.0007083     | 0.001949    | 0.06992      | 58.85         | 0.01963      | 0.01809     | 0.08643        | 0.952                  | 0.00236      | 791.0  | -480179.300708 |
| ZILUSDT   | 0.000704      | 0.0009969   | 0.06887      | 60.32         | 0.01516      | 0.01545     | 0.06968        | 0.9231                 | 0.005444     | 791.0  | -480179.300704 |
| AAVEUSDT  | 0.0006973     | 0.001207    | 0.05415      | 68.87         | 0.01744      | 0.01802     | 0.05028        | 0.9312                 | 0.004494     | 791.0  | -480179.300697 |
| KNCUSDT   | 0.0006958     | 0.0009314   | 0.05837      | 56.3          | 0.01745      | 0.01863     | 0.0694         | 0.9255                 | 0.005686     | 791.0  | -480179.300696 |
| XLMUSDT   | 0.0006908     | 0.001043    | 0.0653       | 43.12         | 0.008931     | 0.01405     | 0.0816         | 0.92                   | 0.005056     | 791.0  | -480179.300691 |
| EGLDUSDT  | 0.0006888     | 0.0014      | 0.06695      | 60.23         | 0.01274      | 0.01996     | 0.05789        | 0.9072                 | 0.006917     | 791.0  | -480179.300689 |
| QTUMUSDT  | 0.0006734     | 0.0007606   | 0.06853      | 85.65         | 0.01439      | 0.01545     | 0.05717        | 0.9312                 | 0.003997     | 791.0  | -480179.300673 |
| BATUSDT   | 0.0006677     | 0.0008476   | 0.06943      | 45.85         | 0.01911      | 0.01617     | 0.09311        | 0.9414                 | 0.004101     | 791.0  | -480179.300668 |
| BALUSDT   | 0.0006341     | 0.0007689   | 0.06953      | 48.32         | 0.01566      | 0.01784     | 0.04104        | 0.9089                 | 0.005771     | 791.0  | -480179.300634 |
| BLZUSDT   | 0.0006189     | 0.0008618   | 0.05983      | 58.72         | 0.01947      | 0.01914     | 0.04788        | 0.9178                 | 0.005703     | 791.0  | -480179.300619 |
| XEMUSDT   | 0.0005985     | 0.0009201   | 0.05251      | 60.98         | 0.01454      | 0.01315     | 0.09832        | 0.9276                 | 0.00284      | 791.0  | -480179.300598 |
| TRXUSDT   | 0.000515      | 0.0009691   | 0.06898      | 36.65         | 0.01229      | 0.0141      | 0.08939        | 0.9139                 | 0.005096     | 791.0  | -480179.300515 |
| SXPUSDT   | 0.0002975     | 0.0009103   | 0.02706      | 69.62         | 0.01395      | 0.01259     | 0.07811        | 0.9371                 | 0.002358     | 791.0  | -480179.300298 |
| YFIUSDT   | 0.0002629     | 0.001102    | 0.06942      | 69.3          | 0.01976      | 0.01953     | 0.09054        | 0.9093                 | 0.005088     | 791.0  | -480179.300263 |
| AVAXUSDT  | 0.0003882     | 0.001546    | 0.07893      | 49.42         | 0.0167       | 0.02336     | 0.09368        | 0.8758                 | 0.007472     | 791.0  | -480145.584326 |
| WAVESUSDT | 0.0003879     | 0.001025    | 0.01366      | 48.13         | 0.01023      | 0.009958    | 0.189          | 0.9532                 | 0.001268     | 791.0  | -471282.779531 |
| AXSUSDT   | 0.0006254     | 0.001543    | 0.1554       | 90.32         | 0.02769      | 0.0419      | 0.1925         | 0.8603                 | 0.01519      | 791.0  | -470704.568413 |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                         short                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| RENUSDT   | 0.002359      | 0.001941    | 0.06879      | 78.68         | 0.01824      | 0.01656     | 0.04823        | 0.9525                 | 0.002073     | 791.0  | -230179.302359 |
| BLZUSDT   | 0.002047      | 0.002074    | 0.0692       | 69.22         | 0.01629      | 0.01465     | 0.01153        | 0.971                  | 0.001457     | 791.0  | -230179.302047 |
| SFPUSDT   | 0.002008      | 0.001912    | 0.06984      | 85.45         | 0.01321      | 0.01984     | 0.0145         | 0.8928                 | 0.003424     | 791.0  | -230179.302008 |
| UNFIUSDT  | 0.001942      | 0.002069    | 0.0695       | 48.43         | 0.01421      | 0.01757     | 0.01904        | 0.8379                 | 0.005785     | 791.0  | -230179.301942 |
| CHZUSDT   | 0.001915      | 0.002292    | 0.06978      | 51.83         | 0.008396     | 0.01365     | 0.03529        | 0.9448                 | 0.002721     | 791.0  | -230179.301915 |
| LITUSDT   | 0.001904      | 0.002021    | 0.06732      | 78.68         | 0.01524      | 0.01723     | 0.0258         | 0.9447                 | 0.003494     | 791.0  | -230179.301904 |
