+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                           long                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| ADAUSDT   | 0.0006219     | 0.0007937   | 0.06639      | 51.07         | 0.01345      | 0.01732     | 0.04205        | 0.9394                 | 0.005073     | 1226.66 | -240179.250622 |
| SOLUSDT   | 0.001189      | 0.002175    | 0.08384      | 63.57         | 0.02133      | 0.01965     | 0.09446        | 0.946                  | 0.002998     | 999.71  | -240177.830326 |
| AXSUSDT   | 0.001212      | 0.002408    | 0.1658       | 62.68         | 0.0279       | 0.04174     | 0.1641         | 0.8926                 | 0.01203      | 932.7   | -233541.943783 |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                       short                                                                                        |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+-----------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score     |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+-----------+
| SUSHIUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1009.71 | -30399.25 |
| 1INCHUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 897.58  | -30399.25 |
| AXSUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 932.7   | -30399.25 |
| CHRUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 820.71  | -30399.25 |
| ATOMUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1219.49 | -30399.25 |
| CELRUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 803.71  | -30399.25 |
| MATICUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 961.71  | -30399.25 |
| SKLUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 914.68  | -30399.25 |
| SXPUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1054.62 | -30399.25 |
| HBARUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 815.71  | -30399.25 |
| ANKRUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 865.71  | -30399.25 |
| SNXUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1030.7  | -30399.25 |
| MANAUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 817.71  | -30399.25 |
| XTZUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1220.66 | -30399.25 |
| GRTUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 903.71  | -30399.25 |
| UNIUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 995.71  | -30399.25 |
| ADAUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1226.66 | -30399.25 |
| XEMUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 829.71  | -30399.25 |
| ETCUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1241.66 | -30399.25 |
| CHZUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 870.71  | -30399.25 |
| SOLUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 999.71  | -30399.25 |
| DENTUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 808.83  | -30399.25 |
| FTMUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 989.71  | -30399.25 |
| COTIUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 822.71  | -30399.25 |
| LINKUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1240.66 | -30399.25 |
| ENJUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 984.71  | -30399.25 |
| STORJUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 997.7   | -30399.25 |
| THETAUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1109.66 | -30399.25 |
| DOTUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1022.71 | -30399.25 |
| DOGEUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1065.62 | -30399.25 |
| ONEUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 814.71  | -30399.25 |
| CRVUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1012.71 | -30399.25 |
| AAVEUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 967.71  | -30399.25 |
| VETUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1212.66 | -30399.25 |
| SANDUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 866.71  | -30399.25 |
| ZILUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1087.62 | -30399.25 |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+-----------+

