+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| SKLUSDT      | 0.001353                  | 66.2          | 0.01883          | 0.01683         | 0.254             | 0.8455                       | 0.008968        | 717.0  | -56012.501352718566 |
| SUSHIUSDT    | 0.001344                  | 35.15         | 0.01159          | 0.01451         | 0.2608            | 0.7991                       | 0.007964        | 717.0  | -56012.50134411082  |
| ANKRUSDT     | 0.001341                  | 67.1          | 0.0138           | 0.01968         | 0.2241            | 0.788                        | 0.009999        | 717.0  | -56012.50134131282  |
| AAVEUSDT     | 0.001327                  | 70.35         | 0.01343          | 0.01537         | 0.2434            | 0.8641                       | 0.008546        | 717.0  | -56012.50132663539  |
| RUNEUSDT     | 0.001308                  | 74.43         | 0.0204           | 0.01973         | 0.1665            | 0.8453                       | 0.007289        | 717.0  | -56012.50130787365  |
| FTMUSDT      | 0.001301                  | 57.5          | 0.01169          | 0.01842         | 0.2961            | 0.7494                       | 0.008182        | 717.0  | -56012.50130131026  |
| RVNUSDT      | 0.0013                    | 66.23         | 0.01495          | 0.01812         | 0.1523            | 0.7819                       | 0.009789        | 717.0  | -56012.50130017057  |
| ENJUSDT      | 0.001263                  | 73.67         | 0.01657          | 0.01841         | 0.1653            | 0.8045                       | 0.009744        | 717.0  | -56012.50126297817  |
| XTZUSDT      | 0.001262                  | 82.27         | 0.01444          | 0.01676         | 0.2419            | 0.7837                       | 0.009962        | 717.0  | -56012.501262384714 |
| KSMUSDT      | 0.001222                  | 80.85         | 0.01521          | 0.01786         | 0.2861            | 0.7683                       | 0.009067        | 717.0  | -56012.50122238077  |
| COMPUSDT     | 0.001178                  | 48.95         | 0.01107          | 0.01673         | 0.2929            | 0.7797                       | 0.009979        | 717.0  | -56012.5011776481   |
| ALPHAUSDT    | 0.001176                  | 66.22         | 0.02043          | 0.01957         | 0.05117           | 0.8206                       | 0.009206        | 717.0  | -56012.50117620718  |
| ONTUSDT      | 0.001099                  | 61.23         | 0.01962          | 0.01768         | 0.05102           | 0.882                        | 0.007271        | 717.0  | -56012.50109889785  |
| DEFIUSDT     | 0.001097                  | 69.7          | 0.01556          | 0.01564         | 0.03747           | 0.9175                       | 0.004072        | 717.0  | -56012.50109686122  |
| KNCUSDT      | 0.001067                  | 89.55         | 0.01596          | 0.01488         | 0.1021            | 0.8337                       | 0.007059        | 717.0  | -56012.501067375706 |
| RENUSDT      | 0.001055                  | 50.45         | 0.01427          | 0.01463         | 0.2199            | 0.8557                       | 0.005524        | 717.0  | -56012.501054740176 |
| DOTUSDT      | 0.001046                  | 92.58         | 0.01142          | 0.01665         | 0.2084            | 0.8069                       | 0.009451        | 717.0  | -56012.501045951445 |
| MANAUSDT     | 0.001045                  | 78.8          | 0.007695         | 0.01799         | 0.1494            | 0.7763                       | 0.009283        | 717.0  | -56012.50104491346  |
| ETCUSDT      | 0.001041                  | 80.48         | 0.01106          | 0.01824         | 0.2512            | 0.797                        | 0.009147        | 717.0  | -56012.501040881354 |
| ONEUSDT      | 0.001039                  | 67.35         | 0.01458          | 0.02191         | 0.2386            | 0.7565                       | 0.009469        | 717.0  | -56012.50103860324  |
| BATUSDT      | 0.001025                  | 74.37         | 0.01609          | 0.02034         | 0.2966            | 0.7977                       | 0.008679        | 717.0  | -56012.50102522719  |
| IOSTUSDT     | 0.001017                  | 70.65         | 0.00748          | 0.01457         | 0.2698            | 0.8126                       | 0.006028        | 717.0  | -56012.501017018236 |
| BANDUSDT     | 0.001005                  | 64.98         | 0.008497         | 0.01318         | 0.2915            | 0.8634                       | 0.004319        | 717.0  | -56012.501004924474 |
| REEFUSDT     | 0.0009973                 | 94.2          | 0.01301          | 0.01692         | 0.2504            | 0.8087                       | 0.007674        | 717.0  | -56012.50099726785  |
| AVAXUSDT     | 0.0009726                 | 77.07         | 0.008632         | 0.01711         | 0.2317            | 0.7745                       | 0.00715         | 717.0  | -56012.50097255157  |
| ICXUSDT      | 0.0009695                 | 74.48         | 0.01158          | 0.01306         | 0.1551            | 0.8796                       | 0.003781        | 717.0  | -56012.50096949343  |
| ZILUSDT      | 0.0009303                 | 49.57         | 0.01262          | 0.01627         | 0.2157            | 0.7952                       | 0.00937         | 717.0  | -56012.50093034189  |
| XLMUSDT      | 0.0008942                 | 75.47         | 0.01277          | 0.01874         | 0.2987            | 0.7642                       | 0.009847        | 717.0  | -56012.500894209064 |
| LRCUSDT      | 0.0008849                 | 84.47         | 0.01251          | 0.01812         | 0.2969            | 0.7778                       | 0.006895        | 717.0  | -56012.500884918816 |
| XRPUSDT      | 0.0008732                 | 69.15         | 0.006554         | 0.01388         | 0.2295            | 0.8146                       | 0.005647        | 717.0  | -56012.50087320544  |
| MTLUSDT      | 0.0008675                 | 80.45         | 0.01518          | 0.02339         | 0.203             | 0.7796                       | 0.009403        | 717.0  | -56012.50086749179  |
| TRBUSDT      | 0.0008591                 | 56.5          | 0.01673          | 0.01837         | 0.2904            | 0.8708                       | 0.005403        | 717.0  | -56012.50085913816  |
| STORJUSDT    | 0.0008305                 | 76.13         | 0.01445          | 0.01669         | 0.1515            | 0.8111                       | 0.006715        | 717.0  | -56012.50083049163  |
| 1INCHUSDT    | 0.0008222                 | 60.23         | 0.01239          | 0.01735         | 0.2951            | 0.7921                       | 0.008856        | 717.0  | -56012.50082216995  |
| ZRXUSDT      | 0.0008084                 | 66.2          | 0.01538          | 0.01572         | 0.28              | 0.8338                       | 0.006857        | 717.0  | -56012.50080844668  |
| RSRUSDT      | 0.0008083                 | 50.9          | 0.01695          | 0.01837         | 0.1456            | 0.7843                       | 0.00798         | 717.0  | -56012.500808342855 |
| ADAUSDT      | 0.000798                  | 56.88         | 0.01085          | 0.02177         | 0.2731            | 0.7724                       | 0.009853        | 717.0  | -56012.50079795311  |
| THETAUSDT    | 0.0007342                 | 70.8          | 0.01528          | 0.0207          | 0.2391            | 0.7621                       | 0.009742        | 717.0  | -56012.500734191985 |
| XEMUSDT      | 0.0007303                 | 53.45         | 0.01477          | 0.01737         | 0.2414            | 0.7943                       | 0.00856         | 717.0  | -56012.500730253974 |
| DASHUSDT     | 0.000719                  | 93.85         | 0.01518          | 0.0169          | 0.1701            | 0.8418                       | 0.005018        | 717.0  | -56012.50071900949  |
| ZENUSDT      | 0.0006552                 | 57.9          | 0.009476         | 0.01265         | 0.2934            | 0.8496                       | 0.005168        | 717.0  | -56012.50065523517  |
| SXPUSDT      | 0.0006502                 | 56.55         | 0.01817          | 0.01818         | 0.1818            | 0.8605                       | 0.005433        | 717.0  | -56012.500650208414 |
| ALICEUSDT    | 0.000625                  | 69.6          | 0.01003          | 0.01112         | 0.1958            | 0.8844                       | 0.003813        | 717.0  | -56012.50062501719  |
| OGNUSDT      | 0.0006136                 | 53.18         | 0.01841          | 0.02068         | 0.2438            | 0.7955                       | 0.009871        | 717.0  | -56012.50061362985  |
| DGBUSDT      | 0.0006077                 | 81.03         | 0.008531         | 0.0228          | 0.2534            | 0.7893                       | 0.007313        | 717.0  | -56012.500607697904 |
| BELUSDT      | 0.0006072                 | 66.22         | 0.01382          | 0.01358         | 0.2953            | 0.8728                       | 0.004145        | 717.0  | -56012.50060721328  |
| QTUMUSDT     | 0.0006071                 | 87.62         | 0.009085         | 0.01122         | 0.1937            | 0.8923                       | 0.003719        | 717.0  | -56012.50060710983  |
| KAVAUSDT     | 0.0006023                 | 73.13         | 0.01403          | 0.01882         | 0.133             | 0.8245                       | 0.006687        | 717.0  | -56012.500602272674 |
| LITUSDT      | 0.0005381                 | 65.05         | 0.01455          | 0.02016         | 0.2891            | 0.7483                       | 0.008229        | 717.0  | -56012.50053806242  |
| ZECUSDT      | 0.0005272                 | 57.17         | 0.008019         | 0.01019         | 0.2991            | 0.8679                       | 0.004081        | 717.0  | -56012.50052724271  |
