+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                    long                                                                                    |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol      | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| KSMUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 941.71  | -4020.0 |
| ATOMUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1191.49 | -4020.0 |
| ZRXUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1053.62 | -4020.0 |
| TRXUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1214.66 | -4020.0 |
| BATUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1185.66 | -4020.0 |
| CELRUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 775.71  | -4020.0 |
| JASMYUSDT   | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 388.85  | -4020.0 |
| REEFUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 810.7   | -4020.0 |
| MATICUSDT   | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 933.71  | -4020.0 |
| BALUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 982.71  | -4020.0 |
| SKLUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 886.68  | -4020.0 |
| RUNEUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 981.7   | -4020.0 |
| CTKUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 905.71  | -4020.0 |
| NEARUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 940.66  | -4020.0 |
| SXPUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1026.62 | -4020.0 |
| WAVESUSDT   | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1004.71 | -4020.0 |
| OMGUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1045.62 | -4020.0 |
| HBARUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 787.71  | -4020.0 |
| MASKUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 624.85  | -4020.0 |
| FLMUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 956.71  | -4020.0 |
| ALGOUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1061.62 | -4020.0 |
| ONTUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1187.66 | -4020.0 |
| ANKRUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 835.71  | -4020.0 |
| RSRUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 936.7   | -4020.0 |
| ZENUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 900.71  | -4020.0 |
| APEUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 422.37  | -4020.0 |
| EGLDUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 971.71  | -4020.0 |
| ETHUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1229.0  | -4020.0 |
| SNXUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1002.7  | -4020.0 |
| APTUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 206.92  | -4020.0 |
| MANAUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 789.71  | -4020.0 |
| XTZUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1192.66 | -4020.0 |
| BCHUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1229.0  | -4020.0 |
| GRTUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 875.71  | -4020.0 |
| IOSTUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1177.66 | -4020.0 |
| ALPHAUSDT   | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 901.71  | -4020.0 |
| DGBUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 752.85  | -4020.0 |
| AVAXUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 960.71  | -4020.0 |
| UNIUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 967.71  | -4020.0 |
| SFPUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 808.71  | -4020.0 |
| ADAUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1198.66 | -4020.0 |
| BELUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 906.71  | -4020.0 |
| DYDXUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 610.85  | -4020.0 |
| FETUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 116.89  | -4020.0 |
| QTUMUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1178.66 | -4020.0 |
| XEMUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 801.71  | -4020.0 |
| ETCUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1213.66 | -4020.0 |
| 1000XECUSDT | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 601.85  | -4020.0 |
| UNFIUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 813.71  | -4020.0 |
| CHZUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 842.71  | -4020.0 |
| ARUSDT      | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 590.85  | -4020.0 |
| LINAUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 785.71  | -4020.0 |
| NEOUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1181.63 | -4020.0 |
| SOLUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 971.71  | -4020.0 |
| WOOUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 400.85  | -4020.0 |
| DENTUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 780.83  | -4020.0 |
| RVNUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 809.71  | -4020.0 |
| HOTUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 774.71  | -4020.0 |
| FTMUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 961.71  | -4020.0 |
| BAKEUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 724.71  | -4020.0 |
| ENSUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 529.85  | -4020.0 |
| BNBUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1186.66 | -4020.0 |
| COTIUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 794.71  | -4020.0 |
| API3USDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 443.85  | -4020.0 |
| ICXUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 970.71  | -4020.0 |
| BTCUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1229.0  | -4020.0 |
| KNCUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1055.63 | -4020.0 |
| IOTAUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1186.66 | -4020.0 |
| TOMOUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 943.71  | -4020.0 |
| ANTUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 502.83  | -4020.0 |
| KAVAUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1019.7  | -4020.0 |
| KLAYUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 578.85  | -4020.0 |
| YFIUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 985.71  | -4020.0 |
| BANDUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1016.71 | -4020.0 |
| ZECUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1193.66 | -4020.0 |
| LTCUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1220.66 | -4020.0 |
| LINKUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1212.66 | -4020.0 |
| STMXUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 782.71  | -4020.0 |
| MKRUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1003.71 | -4020.0 |
| XLMUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1209.66 | -4020.0 |
| OCEANUSDT   | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 921.71  | -4020.0 |
| ENJUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 956.71  | -4020.0 |
| PEOPLEUSDT  | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 505.83  | -4020.0 |
| DASHUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1194.66 | -4020.0 |
| IOTXUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 639.85  | -4020.0 |
| OGNUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 772.71  | -4020.0 |
| STORJUSDT   | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 969.7   | -4020.0 |
| THETAUSDT   | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1081.66 | -4020.0 |
| DOTUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 994.71  | -4020.0 |
| ALICEUSDT   | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 788.87  | -4020.0 |
| LPTUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 548.85  | -4020.0 |
| DARUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 379.85  | -4020.0 |
| GALUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 373.41  | -4020.0 |
| GMTUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 424.83  | -4020.0 |
| DUSKUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 491.85  | -4020.0 |
| DOGEUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1037.62 | -4020.0 |
| ONEUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 786.71  | -4020.0 |
| LRCUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 936.7   | -4020.0 |
| GTCUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 701.85  | -4020.0 |
| GALAUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 602.85  | -4020.0 |
| CRVUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 984.71  | -4020.0 |
| LITUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 814.71  | -4020.0 |
| BLZUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 966.7   | -4020.0 |
| AAVEUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 939.71  | -4020.0 |
| VETUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1184.66 | -4020.0 |
| OPUSDT      | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 346.41  | -4020.0 |
| SANDUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 838.71  | -4020.0 |
| ZILUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1059.62 | -4020.0 |
| RLCUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 979.71  | -4020.0 |
| XMRUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1195.66 | -4020.0 |
| ARPAUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 571.85  | -4020.0 |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+---------+

