+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                    long                                                                                    |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol      | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| RLCUSDT     | 0.001643      | 0.002127    | 43.52         | 0.01613      | 0.01983     | 0.0998         | 0.883                  | 0.006853     | 979.71  | -57518.0016427 |
| MKRUSDT     | 0.001641      | 0.001995    | 77.22         | 0.01099      | 0.01487     | 0.1087         | 0.8749                 | 0.003821     | 1003.71 | -57518.0016409 |
| ENSUSDT     | 0.001618      | 0.002077    | 51.32         | 0.009906     | 0.01116     | 0.1463         | 0.9428                 | 0.003333     | 529.85  | -57518.001618  |
| APEUSDT     | 0.001609      | 0.002965    | 55.55         | 0.01194      | 0.01331     | 0.1392         | 0.9386                 | 0.00399      | 422.37  | -57518.0016086 |
| DGBUSDT     | 0.001603      | 0.002444    | 47.2          | 0.01479      | 0.01908     | 0.03682        | 0.8921                 | 0.005965     | 752.85  | -57518.0016026 |
| EGLDUSDT    | 0.001579      | 0.002508    | 48.45         | 0.01048      | 0.01572     | 0.04532        | 0.9075                 | 0.006006     | 971.71  | -57518.001579  |
| ALGOUSDT    | 0.001579      | 0.002402    | 35.82         | 0.01478      | 0.01708     | 0.0741         | 0.8946                 | 0.006522     | 1061.62 | -57518.0015789 |
| THETAUSDT   | 0.001575      | 0.002341    | 53.83         | 0.01065      | 0.01616     | 0.0523         | 0.8907                 | 0.005434     | 1081.66 | -57518.0015749 |
| OMGUSDT     | 0.001575      | 0.001624    | 61.82         | 0.01867      | 0.01891     | 0.05614        | 0.9077                 | 0.004824     | 1045.62 | -57518.0015747 |
| GMTUSDT     | 0.001566      | 0.002866    | 32.95         | 0.01001      | 0.0114      | 0.1119         | 0.94                   | 0.003836     | 424.83  | -57518.0015664 |
| SUSHIUSDT   | 0.001564      | 0.002676    | 61.72         | 0.01136      | 0.01941     | 0.05113        | 0.8764                 | 0.006153     | 981.71  | -57518.0015644 |
| IOSTUSDT    | 0.001556      | 0.001811    | 47.02         | 0.0177       | 0.01867     | 0.04422        | 0.8984                 | 0.006394     | 1177.66 | -57518.0015556 |
