# note: only symbols with data from (before) 01-05-2021 are used

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                          long                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| THETAUSDT | 0.001026      | 0.001834    | 0.06554      | 42.18         | 0.01166      | 0.01534     | 0.01724        | 0.9484                 | 0.002626     | 822.0  | -480179.301026 |
| ALGOUSDT  | 0.001018      | 0.001501    | 0.06189      | 52.23         | 0.01411      | 0.01839     | 0.02162        | 0.9411                 | 0.002878     | 822.0  | -480179.301018 |
| ALICEUSDT | 0.001004      | 0.001993    | 0.06328      | 39.2          | 0.01022      | 0.01502     | 0.007296       | 0.9471                 | 0.002586     | 822.0  | -480179.301004 |
| SXPUSDT   | 0.0009973     | 0.001336    | 0.06672      | 70.73         | 0.01739      | 0.01697     | 0.04835        | 0.9677                 | 0.002026     | 822.0  | -480179.300997 |
| BANDUSDT  | 0.0009803     | 0.001693    | 0.06894      | 52.2          | 0.01598      | 0.01618     | 0.02959        | 0.9701                 | 0.002326     | 822.0  | -480179.30098  |
| XLMUSDT   | 0.0009749     | 0.001347    | 0.06952      | 59.77         | 0.007957     | 0.01519     | 0.01752        | 0.9503                 | 0.002148     | 822.0  | -480179.300975 |
| SNXUSDT   | 0.0009726     | 0.002005    | 0.06835      | 41.58         | 0.01476      | 0.01892     | 0.03817        | 0.9432                 | 0.003133     | 822.0  | -480179.300973 |
| VETUSDT   | 0.0009725     | 0.0011      | 0.0635       | 59.43         | 0.01743      | 0.01994     | 0.02682        | 0.9487                 | 0.002775     | 822.0  | -480179.300973 |
| EOSUSDT   | 0.000965      | 0.001188    | 0.06982      | 60.82         | 0.01374      | 0.01284     | 0.01665        | 0.9759                 | 0.001328     | 822.0  | -480179.300965 |
| UNFIUSDT  | 0.0009626     | 0.001158    | 0.05952      | 53.68         | 0.01886      | 0.01919     | 0.02463        | 0.9521                 | 0.002076     | 822.0  | -480179.300963 |
| HBARUSDT  | 0.0009622     | 0.00204     | 0.06125      | 50.88         | 0.0106       | 0.01086     | 0.008424       | 0.9664                 | 0.001514     | 822.0  | -480179.300962 |
| EGLDUSDT  | 0.0009128     | 0.001758    | 0.06702      | 60.27         | 0.01133      | 0.01578     | 0.01679        | 0.9601                 | 0.002327     | 822.0  | -480179.300913 |
| LITUSDT   | 0.000908      | 0.001122    | 0.05947      | 39.82         | 0.01972      | 0.01966     | 0.03098        | 0.971                  | 0.001796     | 822.0  | -480179.300908 |
| WAVESUSDT | 0.0009057     | 0.001367    | 0.06572      | 29.9          | 0.01389      | 0.0146      | 0.03426        | 0.9597                 | 0.002235     | 822.0  | -480179.300906 |
| SKLUSDT   | 0.0008674     | 0.001321    | 0.06585      | 45.68         | 0.01743      | 0.01699     | 0.01385        | 0.9496                 | 0.002516     | 822.0  | -480179.300867 |
| STMXUSDT  | 0.0008496     | 0.001205    | 0.0645       | 28.83         | 0.01486      | 0.01675     | 0.05949        | 0.9552                 | 0.002685     | 822.0  | -480179.30085  |
| QTUMUSDT  | 0.0008324     | 0.001179    | 0.06757      | 84.67         | 0.01768      | 0.01885     | 0.0315         | 0.9525                 | 0.002569     | 822.0  | -480179.300832 |
| FTMUSDT   | 0.0008309     | 0.001713    | 0.06758      | 65.65         | 0.01509      | 0.01701     | 0.01007        | 0.9535                 | 0.002686     | 822.0  | -480179.300831 |
| REEFUSDT  | 0.0008129     | 0.001116    | 0.06949      | 53.1          | 0.0184       | 0.01864     | 0.0339         | 0.9696                 | 0.002939     | 822.0  | -480179.300813 |
| COMPUSDT  | 0.0007989     | 0.001347    | 0.06771      | 43.85         | 0.01216      | 0.01576     | 0.07535        | 0.962                  | 0.002837     | 822.0  | -480179.300799 |
| BLZUSDT   | 0.0007872     | 0.001242    | 0.05719      | 55.95         | 0.01966      | 0.01988     | 0.03653        | 0.9507                 | 0.002765     | 822.0  | -480179.300787 |
| CRVUSDT   | 0.0007727     | 0.001382    | 0.06547      | 47.88         | 0.01684      | 0.01956     | 0.02299        | 0.9402                 | 0.003455     | 822.0  | -480179.300773 |
| IOSTUSDT  | 0.0007702     | 0.001264    | 0.06716      | 50.62         | 0.01545      | 0.01512     | 0.02619        | 0.963                  | 0.001829     | 822.0  | -480179.30077  |
| CHRUSDT   | 0.000757      | 0.001866    | 0.06922      | 61.95         | 0.01576      | 0.01989     | 0.03397        | 0.9559                 | 0.003262     | 822.0  | -480179.300757 |
| LINAUSDT  | 0.0007511     | 0.0008288   | 0.06755      | 59.02         | 0.02         | 0.02        | 0.06701        | 0.964                  | 0.002657     | 822.0  | -480179.300751 |
| ADAUSDT   | 0.0007489     | 0.00127     | 0.06984      | 59.68         | 0.01354      | 0.01813     | 0.03608        | 0.9586                 | 0.003084     | 822.0  | -480179.300749 |
| SFPUSDT   | 0.0007461     | 0.001028    | 0.06239      | 43.15         | 0.01958      | 0.01914     | 0.02317        | 0.9662                 | 0.001997     | 822.0  | -480179.300746 |
| BATUSDT   | 0.0007103     | 0.001338    | 0.06123      | 71.97         | 0.01462      | 0.01948     | 0.02607        | 0.9478                 | 0.002876     | 822.0  | -480179.30071  |
| ALPHAUSDT | 0.0007058     | 0.0009093   | 0.06074      | 57.73         | 0.01897      | 0.01981     | 0.05793        | 0.9521                 | 0.00254      | 822.0  | -480179.300706 |
| ZENUSDT   | 0.0007012     | 0.001295    | 0.06845      | 49.6          | 0.0175       | 0.0194      | 0.04193        | 0.946                  | 0.00293      | 822.0  | -480179.300701 |
| RUNEUSDT  | 0.0006649     | 0.001716    | 0.068        | 74.88         | 0.01523      | 0.01962     | 0.02048        | 0.9447                 | 0.003109     | 822.0  | -480179.300665 |
| 1INCHUSDT | 0.0006593     | 0.001179    | 0.03593      | 50.88         | 0.01094      | 0.01035     | 0.006197       | 0.9749                 | 0.0009787    | 822.0  | -480179.300659 |
| IOTAUSDT  | 0.0006412     | 0.001027    | 0.06773      | 47.72         | 0.01487      | 0.01701     | 0.02786        | 0.9521                 | 0.003101     | 822.0  | -480179.300641 |
| TRXUSDT   | 0.000639      | 0.0006617   | 0.0699       | 34.23         | 0.008961     | 0.01128     | 0.01408        | 0.9801                 | 0.0007855    | 822.0  | -480179.300639 |
| KNCUSDT   | 0.000637      | 0.0009904   | 0.05617      | 85.38         | 0.01897      | 0.01836     | 0.05394        | 0.9668                 | 0.00191      | 822.0  | -480179.300637 |
| FILUSDT   | 0.0006346     | 0.000943    | 0.06052      | 59.83         | 0.019        | 0.01995     | 0.04466        | 0.9568                 | 0.002939     | 822.0  | -480179.300635 |
| ONTUSDT   | 0.0006283     | 0.0009308   | 0.06818      | 44.22         | 0.01702      | 0.01787     | 0.04175        | 0.9607                 | 0.002671     | 822.0  | -480179.300628 |
| OGNUSDT   | 0.0006172     | 0.001215    | 0.04841      | 53.9          | 0.01759      | 0.01823     | 0.05808        | 0.9496                 | 0.002239     | 822.0  | -480179.300617 |
| ZILUSDT   | 0.0005873     | 0.001171    | 0.05828      | 44.35         | 0.01646      | 0.01969     | 0.08169        | 0.9425                 | 0.003164     | 822.0  | -480179.300587 |
| SANDUSDT  | 0.0005847     | 0.001223    | 0.0689       | 68.02         | 0.01837      | 0.01866     | 0.06703        | 0.9497                 | 0.00285      | 822.0  | -480179.300585 |
