,timestamp,bkr_price_long,bkr_price_short,psize_long,pprice_long,psize_short,pprice_short,price,closest_bkr_long,closest_bkr_short,balance_long,balance_short,equity_long,equity_short,wallet_exposure_long,wallet_exposure_short
0,1619827202000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.623,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
1,1619830802000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.612,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
2,1619834402000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.637,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
3,1619838002000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.717,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
4,1619841602000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.729,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
5,1619845202000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.662,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
6,1619848802000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.653,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
7,1619852402000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.646,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
8,1619856002000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.602,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
9,1619859602000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.552,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
10,1619863202000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
11,1619866802000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.619,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
12,1619870402000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.705,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
13,1619874002000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.681,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
14,1619877602000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.662,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
15,1619881202000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.639,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
16,1619884802000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.685,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
17,1619888402000.0,0.0,0.0,0.1,5.7,0.0,0.0,5.711,1.0,1.0,1050.00422946,1050.0,1050.00532946,1050.0,0.000542854956206359,0.0
18,1619892002000.0,0.0,0.0,0.1,5.7,0.0,0.0,5.706,1.0,1.0,1050.00422946,1050.0,1050.00482946,1050.0,0.000542854956206359,0.0
19,1619895602000.0,0.0,0.0,0.1,5.745,0.0,0.0,5.762,1.0,1.0,1050.00851457,1050.0,1050.01021457,1050.0,0.0005471384203348766,0.0
