+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                           long (config no. 19051, score -56012.5014374164)                                                                           |
+-----------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol          | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| IOTAUSDT        | -0.0002413                | 78.13         | 0.01298          | 0.02815         | 0.6444            | 0.6777                       | 0.01329         | 720.96 | -47048.972933602345 |
| DEFIUSDT        | 0.0008613                 | 68.03         | 0.01415          | 0.02959         | 0.6246            | 0.6906                       | 0.01434         | 720.96 | -47481.70434802063  |
| EOSUSDT         | 0.000243                  | 93.63         | 0.01209          | 0.02805         | 0.5988            | 0.6742                       | 0.0128          | 720.96 | -47637.10125086388  |
| ZECUSDT         | 0.0007701                 | 95.52         | 0.01354          | 0.03053         | 0.517             | 0.6848                       | 0.01448         | 720.96 | -47836.27573478481  |
| ONTUSDT         | 0.0006533                 | 62.7          | 0.01379          | 0.02635         | 0.7392            | 0.7656                       | 0.01366         | 720.96 | -47961.628969293495 |
| BANDUSDT        | 0.001165                  | 61.03         | 0.01464          | 0.03155         | 0.4814            | 0.7213                       | 0.01588         | 720.96 | -48309.5281545303   |
| CTKUSDT         | 0.0009443                 | 83.72         | 0.01406          | 0.02879         | 0.5517            | 0.691                        | 0.01414         | 720.96 | -48454.75499870324  |
| THETAUSDT       | 0.001014                  | 66.27         | 0.01439          | 0.02905         | 0.5339            | 0.732                        | 0.01499         | 720.96 | -48676.467956306275 |
| EGLDUSDT        | 0.0008571                 | 65.92         | 0.01358          | 0.02621         | 0.5971            | 0.7569                       | 0.01374         | 720.96 | -49303.09122158286  |
| AAVEUSDT        | 0.0008204                 | 77.62         | 0.01389          | 0.02537         | 0.5659            | 0.7561                       | 0.01371         | 720.96 | -49638.96445848574  |
| XEMUSDT         | -0.0001239                | 104.8         | 0.01363          | 0.02443         | 0.6394            | 0.7651                       | 0.01279         | 720.96 | -49742.40770232963  |
| YFIUSDT         | 0.000768                  | 82.0          | 0.01324          | 0.02796         | 0.495             | 0.7305                       | 0.0142          | 720.96 | -49863.88445084964  |
| ZILUSDT         | 0.0005258                 | 89.93         | 0.01388          | 0.02374         | 0.6003            | 0.7788                       | 0.01297         | 720.96 | -50040.14714750105  |
| ATOMUSDT        | 0.0008955                 | 127.0         | 0.01222          | 0.02722         | 0.1896            | 0.6641                       | 0.01206         | 720.96 | -50047.15251569281  |
| ALICEUSDT       | 0.0004937                 | 77.1          | 0.01452          | 0.02913         | 0.4006            | 0.7202                       | 0.01492         | 720.96 | -50085.98192990491  |
| ALPHAUSDT       | -0.0003591                | 66.88         | 0.01379          | 0.02421         | 0.6172            | 0.7573                       | 0.01269         | 720.96 | -50153.427418477564 |
| BTCUSDT         | 0.000278                  | 309.9         | 0.01086          | 0.01205         | 0.6487            | 0.878                        | 0.006683        | 720.96 | -50386.49064485736  |
| ONEUSDT         | 0.001014                  | 66.22         | 0.01391          | 0.02704         | 0.4405            | 0.7397                       | 0.01401         | 720.96 | -50597.66022970455  |
| NEARUSDT        | 0.00038                   | 64.37         | 0.01368          | 0.02077         | 0.6287            | 0.8226                       | 0.01209         | 720.96 | -50638.449636250385 |
| SKLUSDT         | 0.001417                  | 67.32         | 0.01406          | 0.02661         | 0.4335            | 0.751                        | 0.01396         | 720.96 | -50711.647817679564 |
| XMRUSDT         | 0.0005761                 | 179.8         | 0.01277          | 0.02791         | 0.468             | 0.6995                       | 0.01258         | 720.96 | -50856.91703228525  |
| DENTUSDT        | 0.0008049                 | 114.2         | 0.01199          | 0.02824         | 0.2347            | 0.6772                       | 0.01259         | 720.96 | -50948.7586931465   |
| CHZUSDT         | 0.001288                  | 60.23         | 0.01359          | 0.03049         | 0.383             | 0.7195                       | 0.01423         | 720.96 | -50948.78555637607  |
| AVAXUSDT        | 0.0007175                 | 99.88         | 0.01365          | 0.02626         | 0.4206            | 0.721                        | 0.01376         | 720.96 | -51002.404400505526 |
| STORJUSDT       | 0.0006623                 | 65.18         | 0.01341          | 0.02272         | 0.5529            | 0.7925                       | 0.01239         | 720.96 | -51097.07169882     |
| COTIUSDT        | 0.001287                  | 66.2          | 0.01387          | 0.02678         | 0.4286            | 0.7213                       | 0.0136          | 720.96 | -51120.2201383953   |
| VETUSDT         | 0.0009067                 | 73.4          | 0.01288          | 0.02726         | 0.4529            | 0.7122                       | 0.01326         | 720.96 | -51225.948832000235 |
| NKNUSDT         | 0.001019                  | 86.48         | 0.01381          | 0.02576         | 0.4205            | 0.7603                       | 0.01348         | 720.96 | -51322.50548370577  |
| RLCUSDT         | -0.0004141                | 71.18         | 0.01316          | 0.02721         | 0.4314            | 0.6938                       | 0.01266         | 720.96 | -51414.45350062292  |
| LRCUSDT         | 0.001489                  | 73.42         | 0.01338          | 0.02636         | 0.3274            | 0.7171                       | 0.01354         | 720.96 | -52199.78059692277  |
| MATICUSDT       | 0.001035                  | 81.87         | 0.01337          | 0.02344         | 0.4208            | 0.7799                       | 0.01257         | 720.96 | -52237.27129656212  |
| ETCUSDT         | 0.000709                  | 62.42         | 0.01218          | 0.0222          | 0.5234            | 0.7633                       | 0.01152         | 720.96 | -52255.17757989849  |
| OMGUSDT         | 0.0007932                 | 68.6          | 0.01314          | 0.02499         | 0.4091            | 0.7439                       | 0.01267         | 720.96 | -52255.89806743585  |
| IOSTUSDT        | 0.0007701                 | 79.83         | 0.01213          | 0.02536         | 0.4208            | 0.7157                       | 0.0121          | 720.96 | -52704.835476499415 |
| KSMUSDT         | 0.0008991                 | 81.38         | 0.0128           | 0.01903         | 0.5169            | 0.7939                       | 0.0107          | 720.96 | -53144.38571816443  |
| DASHUSDT        | 0.001032                  | 91.97         | 0.01217          | 0.02031         | 0.5067            | 0.7748                       | 0.01052         | 720.96 | -53429.62312148983  |
| TOMOUSDT        | 0.001382                  | 91.47         | 0.0133           | 0.02332         | 0.3564            | 0.7704                       | 0.01197         | 720.96 | -53477.50547114326  |
| ALGOUSDT        | 0.0007224                 | 64.45         | 0.01232          | 0.0239          | 0.3225            | 0.7367                       | 0.01193         | 720.96 | -53852.950476901875 |
| BCHUSDT         | 0.0006344                 | 87.53         | 0.01135          | 0.01829         | 0.5104            | 0.7896                       | 0.009616        | 720.96 | -53908.85217854857  |
| COMPUSDT        | 0.0009832                 | 81.63         | 0.01276          | 0.01969         | 0.3882            | 0.7872                       | 0.01074         | 720.96 | -54394.35228130513  |
| XLMUSDT         | 0.0004631                 | 109.2         | 0.01151          | 0.02109         | 0.4254            | 0.7721                       | 0.009934        | 720.96 | -54626.339323483764 |
| BNBUSDT         | 0.0003661                 | 184.2         | 0.0103           | 0.01856         | 0.338             | 0.7603                       | 0.008722        | 720.96 | -54750.576079959    |
| LINKUSDT        | 0.0009037                 | 114.2         | 0.01187          | 0.02085         | 0.3249            | 0.7531                       | 0.01063         | 720.96 | -54947.50540447911  |
| LTCUSDT         | 0.0008109                 | 100.2         | 0.01086          | 0.02034         | 0.3986            | 0.7653                       | 0.009998        | 720.96 | -54984.23230721192  |
| MKRUSDT         | 0.0008608                 | 83.35         | 0.01202          | 0.01645         | 0.3939            | 0.8193                       | 0.008922        | 720.96 | -55073.13647425188  |
| HOTUSDT         | 0.001113                  | 71.42         | 0.01113          | 0.02472         | 0.1352            | 0.7134                       | 0.01085         | 720.96 | -55166.34920154429  |
| BATUSDT         | 0.0002334                 | 72.08         | 0.01198          | 0.01829         | 0.38              | 0.7919                       | 0.009732        | 720.96 | -55212.57352648631  |
| ETHUSDT         | 0.0004264                 | 163.9         | 0.009282         | 0.008011        | 0.1597            | 0.9449                       | 0.002873        | 720.96 | -55333.50042637273  |
| RVNUSDT         | 0.0003072                 | 81.43         | 0.01146          | 0.01932         | 0.3369            | 0.7721                       | 0.009559        | 720.96 | -55643.76580420145  |
| XRPUSDT         | 0.0007017                 | 132.0         | 0.008779         | 0.01373         | 0.09253           | 0.8062                       | 0.006331        | 720.96 | -55652.33403507632  |
