,timestamp,bkr_price_long,bkr_price_short,psize_long,pprice_long,psize_short,pprice_short,price,closest_bkr_long,closest_bkr_short,balance_long,balance_short,equity_long,equity_short,wallet_exposure_long,wallet_exposure_short
0,1622630700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4197,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
1,1622634300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4305,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
2,1622637900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
3,1622641500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4142,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
4,1622645100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4225,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
5,1622648700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4174,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
6,1622652300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4062,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
7,1622655900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3996,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
8,1622659500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4081,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
9,1622663100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4161,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
10,1622666700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
11,1622670300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4265,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
12,1622673900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4182,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
13,1622677500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4272,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
14,1622681100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4142,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
15,1622684700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4139,1.0,1.0,500.0,500.0,500.0,500.0,0.0,0.0
