+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| HOTUSDT       | 0.001451      | 0.002014    | 0.06951      | 48.97         | 0.01071      | 0.01394     | 0.01048        | 0.8967                 | 0.004766     | 791.0  | -480179.301451 |
| TOMOUSDT      | 0.00144       | 0.001595    | 0.06873      | 66.78         | 0.01484      | 0.01611     | 0.02349        | 0.9138                 | 0.00579      | 791.0  | -480179.30144  |
| TRBUSDT       | 0.00144       | 0.00171     | 0.06708      | 30.27         | 0.0196       | 0.01862     | 0.07156        | 0.9028                 | 0.005213     | 791.0  | -480179.30144  |
| MINAUSDT      | 0.001431      | 0.001462    | 0.06208      | 39.28         | 0.008519     | 0.01037     | 0.071          | 0.9487                 | 0.003975     | 143.54 | -480179.301431 |
| HFTUSDT       | 0.001397      | 0.001649    | 0.05162      | 40.77         | 0.0104       | 0.0083      | 0.02582        | 0.9854                 | 0.001348     | 85.5   | -480179.301397 |
| RLCUSDT       | 0.001395      | 0.002162    | 0.06818      | 50.7          | 0.01088      | 0.01731     | 0.01454        | 0.878                  | 0.00724      | 791.0  | -480179.301395 |
| RADUSDT       | 0.001369      | 0.001033    | 0.04534      | 26.42         | 0.01563      | 0.01447     | 0.01816        | 0.9891                 | 0.001704     | 51.5   | -480179.301369 |
| NEARUSDT      | 0.001364      | 0.001768    | 0.0692       | 51.93         | 0.0112       | 0.01402     | 0.008035       | 0.9061                 | 0.005377     | 791.0  | -480179.301364 |
| COTIUSDT      | 0.001362      | 0.001739    | 0.0631       | 45.32         | 0.01249      | 0.01462     | 0.04112        | 0.8827                 | 0.005328     | 791.0  | -480179.301362 |
| STMXUSDT      | 0.001354      | 0.001211    | 0.06858      | 55.27         | 0.0162       | 0.01835     | 0.03013        | 0.8976                 | 0.006718     | 791.0  | -480179.301354 |
| TUSDT         | 0.001353      | 0.001311    | 0.05352      | 44.33         | 0.007202     | 0.006753    | 0.06054        | 0.9805                 | 0.001566     | 149.46 | -480179.301353 |
| PEOPLEUSDT    | 0.001342      | 0.001914    | 0.06475      | 43.65         | 0.01355      | 0.0132      | 0.009877       | 0.9451                 | 0.003898     | 553.83 | -480179.301342 |
| STXUSDT       | 0.001323      | 0.001847    | 0.06158      | 66.05         | 0.01232      | 0.0101      | 0.06276        | 0.9693                 | 0.002542     | 129.39 | -480179.301323 |
| CHZUSDT       | 0.001318      | 0.001968    | 0.06276      | 45.7          | 0.009491     | 0.01317     | 0.005628       | 0.8957                 | 0.005299     | 791.0  | -480179.301318 |
| MTLUSDT       | 0.001317      | 0.001358    | 0.06851      | 61.3          | 0.01811      | 0.01693     | 0.02857        | 0.9135                 | 0.003989     | 791.0  | -480179.301317 |
| RVNUSDT       | 0.001307      | 0.001507    | 0.06963      | 65.68         | 0.01272      | 0.0174      | 0.01123        | 0.8832                 | 0.007006     | 791.0  | -480179.301307 |
| SUSHIUSDT     | 0.001291      | 0.001874    | 0.06904      | 47.63         | 0.01108      | 0.01712     | 0.0651         | 0.8741                 | 0.006654     | 791.0  | -480179.301291 |
| BANDUSDT      | 0.001287      | 0.001669    | 0.06689      | 51.85         | 0.01477      | 0.01843     | 0.01518        | 0.8701                 | 0.007125     | 791.0  | -480179.301287 |
| LINAUSDT      | 0.001279      | 0.001133    | 0.05727      | 56.45         | 0.01876      | 0.01622     | 0.03622        | 0.9041                 | 0.00461      | 791.0  | -480179.301279 |
| MANAUSDT      | 0.001278      | 0.001693    | 0.06385      | 76.95         | 0.01087      | 0.01279     | 0.02964        | 0.9167                 | 0.005075     | 791.0  | -480179.301278 |
| ASTRUSDT      | 0.001267      | 0.001716    | 0.04857      | 32.45         | 0.009808     | 0.008974    | 0.00489        | 0.9869                 | 0.001166     | 136.89 | -480179.301267 |
| ARBUSDT       | 0.001241      | 0.001632    | 0.04325      | 48.15         | 0.006638     | 0.006317    | 0.001352       | 0.986                  | 0.001202     | 99.37  | -480179.301241 |
| DOTUSDT       | 0.00124       | 0.001895    | 0.06821      | 93.57         | 0.009911     | 0.01346     | 0.03503        | 0.9157                 | 0.005303     | 791.0  | -480179.30124  |
| RDNTUSDT      | 0.001238      | 0.001692    | 0.06331      | 42.92         | 0.01304      | 0.0156      | 0.04102        | 0.9417                 | 0.005554     | 86.5   | -480179.301238 |
| RENUSDT       | 0.001233      | 0.001357    | 0.06666      | 52.95         | 0.01944      | 0.01989     | 0.04539        | 0.8871                 | 0.007476     | 791.0  | -480179.301233 |
| CRVUSDT       | 0.001222      | 0.001962    | 0.06812      | 50.6          | 0.01417      | 0.0198      | 0.04015        | 0.8658                 | 0.007622     | 791.0  | -480179.301222 |
| RUNEUSDT      | 0.001221      | 0.001964    | 0.06989      | 55.73         | 0.01328      | 0.01365     | 0.03478        | 0.9309                 | 0.004555     | 791.0  | -480179.301221 |
| ADAUSDT       | 0.001219      | 0.001381    | 0.06705      | 58.9          | 0.01184      | 0.01736     | 0.02474        | 0.9063                 | 0.007201     | 791.0  | -480179.301219 |
| ZECUSDT       | 0.001219      | 0.001375    | 0.069        | 79.9          | 0.01151      | 0.01117     | 0.01365        | 0.9377                 | 0.003865     | 791.0  | -480179.301219 |
| ALGOUSDT      | 0.001208      | 0.001341    | 0.05304      | 44.47         | 0.01002      | 0.01231     | 0.0182         | 0.9264                 | 0.004666     | 791.0  | -480179.301208 |
| THETAUSDT     | 0.00118       | 0.001661    | 0.05947      | 43.7          | 0.01116      | 0.0173      | 0.01053        | 0.8738                 | 0.006843     | 791.0  | -480179.30118  |
| UNFIUSDT      | 0.001178      | 0.001237    | 0.05906      | 57.17         | 0.01864      | 0.01901     | 0.01971        | 0.8927                 | 0.005273     | 791.0  | -480179.301178 |
| AMBUSDT       | 0.001166      | 0.0008385   | 0.02992      | 44.1          | 0.01246      | 0.009538    | 0.09848        | 0.9899                 | 0.0009732    | 92.5   | -480179.301166 |
| XMRUSDT       | 0.001152      | 0.001199    | 0.06981      | 43.22         | 0.009878     | 0.01018     | 0.008671       | 0.9487                 | 0.00251      | 791.0  | -480179.301152 |
| BNXUSDT       | 0.001148      | 0.00113     | 0.04594      | 40.55         | 0.01768      | 0.01476     | 0.05934        | 0.963                  | 0.003064     | 128.38 | -480179.301148 |
| HBARUSDT      | 0.001128      | 0.001787    | 0.06921      | 56.63         | 0.01076      | 0.01245     | 0.01311        | 0.8997                 | 0.005015     | 791.0  | -480179.301128 |
| LDOUSDT       | 0.001125      | 0.0008733   | 0.05652      | 57.08         | 0.01852      | 0.01538     | 0.06518        | 0.9351                 | 0.003655     | 281.5  | -480179.301125 |
| SFPUSDT       | 0.001112      | 0.001336    | 0.06897      | 56.0          | 0.01543      | 0.01698     | 0.01547        | 0.8834                 | 0.006208     | 791.0  | -480179.301112 |
| REEFUSDT      | 0.001101      | 0.001539    | 0.05881      | 33.18         | 0.01066      | 0.01529     | 0.02692        | 0.9148                 | 0.006168     | 791.0  | -480179.301101 |
| ONTUSDT       | 0.001087      | 0.00105     | 0.06429      | 46.65         | 0.01854      | 0.01488     | 0.06711        | 0.9569                 | 0.003281     | 791.0  | -480179.301087 |
| ZILUSDT       | 0.001082      | 0.001432    | 0.05211      | 47.07         | 0.01013      | 0.0154      | 0.04073        | 0.915                  | 0.006065     | 791.0  | -480179.301082 |
| FTMUSDT       | 0.001077      | 0.00135     | 0.06176      | 65.58         | 0.01759      | 0.01796     | 0.06986        | 0.8821                 | 0.005989     | 791.0  | -480179.301077 |
| TLMUSDT       | 0.001064      | 0.001053    | 0.06927      | 41.37         | 0.00633      | 0.005318    | 0.00266        | 0.9851                 | 0.001521     | 92.48  | -480179.301064 |
| CELOUSDT      | 0.001063      | 0.001376    | 0.05173      | 43.38         | 0.01076      | 0.01607     | 0.01874        | 0.8989                 | 0.006221     | 641.85 | -480179.301063 |
| CTKUSDT       | 0.001059      | 0.001422    | 0.0679       | 65.82         | 0.0121       | 0.01182     | 0.005432       | 0.9161                 | 0.003447     | 791.0  | -480179.301059 |
| AGIXUSDT      | 0.001048      | 0.001542    | 0.0675       | 33.9          | 0.01042      | 0.009306    | 0.008161       | 0.9701                 | 0.00321      | 134.4  | -480179.301048 |
| XRPUSDT       | 0.001047      | 0.001726    | 0.06304      | 55.5          | 0.0114       | 0.01463     | 0.07316        | 0.9082                 | 0.006005     | 791.0  | -480179.301047 |
| DGBUSDT       | 0.001037      | 0.002051    | 0.06998      | 45.83         | 0.01405      | 0.01965     | 0.03533        | 0.8577                 | 0.007713     | 791.0  | -480179.301037 |
| SPELLUSDT     | 0.001037      | 0.001141    | 0.0448       | 48.07         | 0.008149     | 0.007882    | 0.008162       | 0.9767                 | 0.001566     | 297.5  | -480179.301037 |
| MKRUSDT       | 0.001021      | 0.0017      | 0.05984      | 76.05         | 0.01154      | 0.01535     | 0.04636        | 0.8868                 | 0.005946     | 791.0  | -480179.301021 |
| OPUSDT        | 0.00101       | 0.001294    | 0.06334      | 39.25         | 0.01382      | 0.01949     | 0.05847        | 0.8872                 | 0.008372     | 394.41 | -480179.30101  |
| ARPAUSDT      | 0.00101       | 0.001021    | 0.05533      | 59.63         | 0.01334      | 0.01997     | 0.05015        | 0.8748                 | 0.008037     | 619.85 | -480179.30101  |
| ZENUSDT       | 0.001001      | 0.001391    | 0.06991      | 49.82         | 0.01554      | 0.01901     | 0.02274        | 0.8712                 | 0.007305     | 791.0  | -480179.301001 |
| ALICEUSDT     | 0.0009885     | 0.001207    | 0.06328      | 60.65         | 0.01719      | 0.01768     | 0.04198        | 0.9292                 | 0.003832     | 791.0  | -480179.300988 |
| QNTUSDT       | 0.0009781     | 0.0009131   | 0.06165      | 77.08         | 0.01001      | 0.008394    | 0.02217        | 0.9709                 | 0.001803     | 253.89 | -480179.300978 |
| UNIUSDT       | 0.0009717     | 0.001332    | 0.06583      | 62.22         | 0.0147       | 0.01588     | 0.02452        | 0.8905                 | 0.00539      | 791.0  | -480179.300972 |
