,timestamp,bkr_price_long,bkr_price_short,psize_long,pprice_long,psize_short,pprice_short,price,closest_bkr_long,closest_bkr_short,balance_long,balance_short,equity_long,equity_short,wallet_exposure_long,wallet_exposure_short
0,1619827201000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337941,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
1,1619830801000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332234,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
2,1619834401000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331466,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
3,1619838001000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33565,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
4,1619841601000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349954,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
5,1619845201000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36347,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
6,1619848801000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357384,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
7,1619852401000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364881,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
8,1619856001000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359914,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
9,1619859601000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353122,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
10,1619863201000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352544,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
11,1619866801000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359781,1.0,1.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0
12,1619870401000.0,0.0,0.0,5.0,0.35900960000000004,0.0,0.0,0.358789,1.0,1.0,1049.9998204951999,1050.0,1049.9987174951998,1050.0,0.0017095698160723698,0.0
13,1619874001000.0,0.0,0.0,2.0,0.366381021875,0.0,0.0,0.363201,1.0,1.0,1050.01737816235,1050.0,1050.0110181186,1050.0,0.0006978570631206285,0.0
14,1619877601000.0,0.0,0.0,2.0,0.364098704375,0.0,0.0,0.362749,1.0,1.0,1050.0237417052504,1050.0,1050.0210422965004,1050.0,0.0006935056607076325,0.0
15,1619881201000.0,0.0,0.0,5.0,0.36100348174999997,0.0,0.0,0.35853,1.0,1.0,1050.0236340232505,1050.0,1050.0112666145005,1050.0,0.0017190255059630704,0.0
