+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| STXUSDT       | 0.001337      | 0.001895    | 0.06707      | 65.88         | 0.01215      | 0.009667    | 0.007036       | 0.9785                 | 0.002333     | 127.39 | -480179.301337 |
| 1000FLOKIUSDT | 0.001336      | 0.001964    | 0.04335      | 20.25         | 0.01071      | 0.009904    | 0.02417        | 0.9754                 | 0.002483     | 53.31  | -480179.301336 |
| BLURUSDT      | 0.001332      | 0.00186     | 0.06027      | 41.35         | 0.009663     | 0.008335    | 0.001765       | 0.9907                 | 0.001128     | 61.5   | -480179.301332 |
| OMGUSDT       | 0.001319      | 0.001506    | 0.06759      | 42.55         | 0.01327      | 0.01671     | 0.05341        | 0.9159                 | 0.006702     | 905.0  | -480179.301319 |
| LITUSDT       | 0.001269      | 0.001282    | 0.04915      | 45.2          | 0.01837      | 0.01752     | 0.02558        | 0.9481                 | 0.003171     | 860.71 | -480179.301269 |
| RADUSDT       | 0.001259      | 0.001221    | 0.05549      | 28.38         | 0.01347      | 0.01317     | 0.01341        | 0.9665                 | 0.00368      | 49.5   | -480179.301259 |
| TRBUSDT       | 0.001253      | 0.001583    | 0.06111      | 86.23         | 0.01986      | 0.01913     | 0.06342        | 0.8889                 | 0.005464     | 905.0  | -480179.301253 |
| KAVAUSDT      | 0.001241      | 0.00165     | 0.0415       | 74.82         | 0.01442      | 0.01235     | 0.09348        | 0.9609                 | 0.002036     | 905.0  | -480179.301241 |
| HIGHUSDT      | 0.001236      | 0.001391    | 0.05645      | 32.43         | 0.01513      | 0.01494     | 0.01643        | 0.9472                 | 0.005897     | 141.89 | -480179.301236 |
| SPELLUSDT     | 0.001234      | 0.0006898   | 0.05478      | 41.2          | 0.01467      | 0.01295     | 0.0722         | 0.9716                 | 0.002067     | 295.5  | -480179.301234 |
| COMBOUSDT     | 0.001229      | 0.002311    | 0.05477      | 15.97         | 0.01693      | 0.01552     | 0.02768        | 0.9873                 | 0.002113     | 26.5   | -480179.301229 |
